,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,conditions.type,conditions.value
0,uri,http://www.wikidata.org/entity/Q15869,en,literal,Freddie Mercury,literal,HIV/AIDS
1,uri,http://www.wikidata.org/entity/Q53325,en,literal,Arthur Ashe,literal,HIV/AIDS
2,uri,http://www.wikidata.org/entity/Q57774,en,literal,Klaus Nomi,literal,HIV/AIDS
3,uri,http://www.wikidata.org/entity/Q77208,en,literal,Horst Bienek,literal,HIV/AIDS
4,uri,http://www.wikidata.org/entity/Q184378,en,literal,Rock Hudson,literal,HIV/AIDS
5,uri,http://www.wikidata.org/entity/Q230824,en,literal,Gia Carangi,literal,HIV/AIDS
6,uri,http://www.wikidata.org/entity/Q267081,en,literal,Steve Rubell,literal,HIV/AIDS
7,uri,http://www.wikidata.org/entity/Q281832,en,literal,Louis Falco,literal,HIV/AIDS
8,uri,http://www.wikidata.org/entity/Q282787,en,literal,Derek Jarman,literal,HIV/AIDS
9,uri,http://www.wikidata.org/entity/Q288055,en,literal,Robert Rayford,literal,HIV/AIDS
10,uri,http://www.wikidata.org/entity/Q312258,en,literal,Jacques Demy,literal,HIV/AIDS
11,uri,http://www.wikidata.org/entity/Q312688,en,literal,John Holmes,literal,HIV/AIDS
12,uri,http://www.wikidata.org/entity/Q320163,en,literal,Ryan White,literal,HIV/AIDS
13,uri,http://www.wikidata.org/entity/Q329716,en,literal,Michael Jeter,literal,HIV/AIDS
14,uri,http://www.wikidata.org/entity/Q348916,en,literal,Bruce Chatwin,literal,HIV/AIDS
15,uri,http://www.wikidata.org/entity/Q374175,en,literal,Brad Davis,literal,HIV/AIDS
16,uri,http://www.wikidata.org/entity/Q379934,en,literal,Bernard-Marie Koltès,literal,HIV/AIDS
17,uri,http://www.wikidata.org/entity/Q449037,en,literal,Alvin Ailey,literal,HIV/AIDS
18,uri,http://www.wikidata.org/entity/Q449094,en,literal,Jacques Morali,literal,HIV/AIDS
19,uri,http://www.wikidata.org/entity/Q450376,en,literal,Yvonne Vera,literal,HIV/AIDS
20,uri,http://www.wikidata.org/entity/Q455579,en,literal,Madonna Wayne Gacy,literal,HIV/AIDS
21,uri,http://www.wikidata.org/entity/Q653366,en,literal,Larry Kramer,literal,HIV/AIDS
22,uri,http://www.wikidata.org/entity/Q703498,en,literal,Ray Gillen,literal,HIV/AIDS
23,uri,http://www.wikidata.org/entity/Q706886,en,literal,Jack Smith,literal,HIV/AIDS
24,uri,http://www.wikidata.org/entity/Q712927,en,literal,Robert McCall,literal,HIV/AIDS
25,uri,http://www.wikidata.org/entity/Q719372,en,literal,Casey Donovan,literal,HIV/AIDS
26,uri,http://www.wikidata.org/entity/Q725318,en,literal,Vito Russo,literal,HIV/AIDS
27,uri,http://www.wikidata.org/entity/Q725964,en,literal,Dan Hartman,literal,HIV/AIDS
28,uri,http://www.wikidata.org/entity/Q731619,en,literal,Timothy Patrick Murphy,literal,HIV/AIDS
29,uri,http://www.wikidata.org/entity/Q745578,en,literal,Pier Vittorio Tondelli,literal,HIV/AIDS
30,uri,http://www.wikidata.org/entity/Q862132,en,literal,Bill Goldsworthy,literal,HIV/AIDS
31,uri,http://www.wikidata.org/entity/Q864094,en,literal,Binyavanga Wainaina,literal,HIV/AIDS
32,uri,http://www.wikidata.org/entity/Q927532,en,literal,Kenny Everett,literal,HIV/AIDS
33,uri,http://www.wikidata.org/entity/Q939138,en,literal,Frank Silva,literal,HIV/AIDS
34,uri,http://www.wikidata.org/entity/Q952198,en,literal,John Carroll,literal,HIV/AIDS
35,uri,http://www.wikidata.org/entity/Q952233,en,literal,David Wojnarowicz,literal,HIV/AIDS
36,uri,http://www.wikidata.org/entity/Q953270,en,literal,Dack Rambo,literal,HIV/AIDS
37,uri,http://www.wikidata.org/entity/Q956227,en,literal,Colin Higgins,literal,HIV/AIDS
38,uri,http://www.wikidata.org/entity/Q1024044,en,literal,Leigh Bowery,literal,HIV/AIDS
39,uri,http://www.wikidata.org/entity/Q1090963,en,literal,Andy Milligan,literal,HIV/AIDS
40,uri,http://www.wikidata.org/entity/Q1094329,en,literal,Tim Richmond,literal,HIV/AIDS
41,uri,http://www.wikidata.org/entity/Q1230996,en,literal,Paul Monette,literal,HIV/AIDS
42,uri,http://www.wikidata.org/entity/Q1237656,en,literal,James Rizzi,literal,HIV/AIDS
43,uri,http://www.wikidata.org/entity/Q1286616,en,literal,Al Parker,literal,HIV/AIDS
44,uri,http://www.wikidata.org/entity/Q1288359,en,literal,Félix González-Torres,literal,HIV/AIDS
45,uri,http://www.wikidata.org/entity/Q1309970,en,literal,Guy Hocquenghem,literal,HIV/AIDS
46,uri,http://www.wikidata.org/entity/Q1334295,en,literal,Howard Ashman,literal,HIV/AIDS
47,uri,http://www.wikidata.org/entity/Q1335349,en,literal,Mano Solo,literal,HIV/AIDS
48,uri,http://www.wikidata.org/entity/Q1381697,en,literal,Gaëtan Dugas,literal,HIV/AIDS
49,uri,http://www.wikidata.org/entity/Q1405464,en,literal,Ferdinand Karmelk,literal,HIV/AIDS
50,uri,http://www.wikidata.org/entity/Q1522057,en,literal,Martin Wong,literal,HIV/AIDS
51,uri,http://www.wikidata.org/entity/Q1690964,en,literal,Jobriath,literal,HIV/AIDS
52,uri,http://www.wikidata.org/entity/Q1866666,en,literal,Nkosi Johnson,literal,HIV/AIDS
53,uri,http://www.wikidata.org/entity/Q1889941,en,literal,Manfred Seipold,literal,HIV/AIDS
54,uri,http://www.wikidata.org/entity/Q2019126,en,literal,Oleg Kerensky,literal,HIV/AIDS
55,uri,http://www.wikidata.org/entity/Q2096412,en,literal,Rick Aviles,literal,HIV/AIDS
56,uri,http://www.wikidata.org/entity/Q2104774,en,literal,Makgatho Mandela,literal,HIV/AIDS
57,uri,http://www.wikidata.org/entity/Q2396027,en,literal,Vito Galfano,literal,HIV/AIDS
58,uri,http://www.wikidata.org/entity/Q2433818,en,literal,Tim Brown,literal,HIV/AIDS
59,uri,http://www.wikidata.org/entity/Q2474802,en,literal,Pascal de Duve,literal,HIV/AIDS
60,uri,http://www.wikidata.org/entity/Q2542671,en,literal,Serge Daney,literal,HIV/AIDS
