,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,conditions.type,conditions.value,causedeath.type,causedeath.value
0,uri,http://www.wikidata.org/entity/Q159397,en,literal,Louis Botha,literal,1918-1920 flu pandemic,literal,"influenza, 1918-1920 flu pandemic"
1,uri,http://www.wikidata.org/entity/Q159670,en,literal,"Prince Albert Victor, Duke of Clarence and Avondale",literal,"typhoid fever, pneumonia, influenza",literal,influenza
2,uri,http://www.wikidata.org/entity/Q176368,en,literal,Harold Gilman,literal,"1918-1920 flu pandemic, influenza",literal,"influenza, 1918-1920 flu pandemic"
3,uri,http://www.wikidata.org/entity/Q69045,en,literal,Ernst Albrecht,literal,Alzheimer's disease,literal,Alzheimer's disease
4,uri,http://www.wikidata.org/entity/Q75939,en,literal,Hans Münch,literal,Alzheimer's disease,literal,Alzheimer's disease
5,uri,http://www.wikidata.org/entity/Q78928,en,literal,Karlheinz Böhm,literal,Alzheimer's disease,literal,Alzheimer's disease
6,uri,http://www.wikidata.org/entity/Q189454,en,literal,Helena Blavatsky,literal,"1889–1890 pandemic, influenza",literal,influenza
7,uri,http://www.wikidata.org/entity/Q127315,en,literal,Harold Lockwood,literal,1918-1920 flu pandemic,literal,"influenza, 1918-1920 flu pandemic"
8,uri,http://www.wikidata.org/entity/Q138376,en,literal,John Ellis Martineau,literal,influenza,literal,influenza
9,uri,http://www.wikidata.org/entity/Q86872,en,literal,Erwin Bünning,literal,Alzheimer's disease,literal,Alzheimer's disease
10,uri,http://www.wikidata.org/entity/Q92760,en,literal,Claude Shannon,literal,Alzheimer's disease,literal,Alzheimer's disease
11,uri,http://www.wikidata.org/entity/Q103788,en,literal,Mervyn LeRoy,literal,Alzheimer's disease,literal,Alzheimer's disease
12,uri,http://www.wikidata.org/entity/Q106443,en,literal,Annie Girardot,literal,Alzheimer's disease,literal,Alzheimer's disease
13,uri,http://www.wikidata.org/entity/Q106881,en,literal,Monica Vitti,literal,Alzheimer's disease,literal,Alzheimer's disease
14,uri,http://www.wikidata.org/entity/Q94561,en,literal,Leone Sextus Tollemache,literal,influenza,literal,"influenza, pneumonia"
