,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sexgenderLabel.xml:lang,sexgenderLabel.type,sexgenderLabel.value,conditions.type,conditions.value
0,uri,http://www.wikidata.org/entity/Q628679,en,literal,Grand Duke Michael Mikhailovich of Russia,en,literal,male,literal,influenza
1,uri,http://www.wikidata.org/entity/Q661678,en,literal,Henry Brazeale Walthall,en,literal,male,literal,influenza
2,uri,http://www.wikidata.org/entity/Q698151,en,literal,Bohumil Kubišta,en,literal,male,literal,"influenza, 1918-1920 flu pandemic"
3,uri,http://www.wikidata.org/entity/Q709077,en,literal,John L. O'Sullivan,en,literal,male,literal,influenza
4,uri,http://www.wikidata.org/entity/Q724677,en,literal,William Wilson Hunter,en,literal,male,literal,influenza
5,uri,http://www.wikidata.org/entity/Q897653,en,literal,Ivan Milev,en,literal,male,literal,influenza
6,uri,http://www.wikidata.org/entity/Q963076,en,literal,Frans De Haes,en,literal,male,literal,influenza
7,uri,http://www.wikidata.org/entity/Q1317608,en,literal,Oskar Joost,en,literal,male,literal,influenza
8,uri,http://www.wikidata.org/entity/Q1388853,en,literal,Jack MacGowran,en,literal,male,literal,influenza
9,uri,http://www.wikidata.org/entity/Q1673162,en,literal,Alice Tully,en,literal,female,literal,influenza
10,uri,http://www.wikidata.org/entity/Q2240702,en,literal,Princess Victoria Margaret of Prussia,en,literal,female,literal,influenza
11,uri,http://www.wikidata.org/entity/Q2622578,en,literal,Vera Kholodnaya,en,literal,female,literal,"influenza, 1918-1920 flu pandemic"
12,uri,http://www.wikidata.org/entity/Q2642653,en,literal,Alexander McNair,en,literal,male,literal,influenza
13,uri,http://www.wikidata.org/entity/Q2835105,en,literal,Alfred Edwards,en,literal,male,literal,influenza
14,uri,http://www.wikidata.org/entity/Q2871657,en,literal,Augustin de Beaulieu,en,literal,male,literal,influenza
15,uri,http://www.wikidata.org/entity/Q3058884,en,literal,Estelita Rodriguez,en,literal,female,literal,influenza
16,uri,http://www.wikidata.org/entity/Q3087071,en,literal,Frederick Cayley Robinson,en,literal,male,literal,influenza
17,uri,http://www.wikidata.org/entity/Q3121402,en,literal,Gustavus Cheyney Doane,en,literal,male,literal,influenza
18,uri,http://www.wikidata.org/entity/Q3182604,en,literal,John T. Ford,en,literal,male,literal,influenza
19,uri,http://www.wikidata.org/entity/Q3533574,en,literal,Rafael Bolívar Coronado,en,literal,male,literal,influenza
20,uri,http://www.wikidata.org/entity/Q3563901,,literal,Q3563901,en,literal,male,literal,influenza
