,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
0,uri,http://www.wikidata.org/entity/Q1681,en,literal,Abel Mutai
1,uri,http://www.wikidata.org/entity/Q1789,en,literal,Ashton Eaton
2,uri,http://www.wikidata.org/entity/Q1672,en,literal,Dejen Gebremeskel
3,uri,http://www.wikidata.org/entity/Q1712,en,literal,Erick Barrondo
4,uri,http://www.wikidata.org/entity/Q1738,en,literal,Robert Grabarz
5,uri,http://www.wikidata.org/entity/Q1755,en,literal,Tomasz Majewski
6,uri,http://www.wikidata.org/entity/Q1956,en,literal,Hermann Maier
7,uri,http://www.wikidata.org/entity/Q4261,en,literal,Michel Platini
8,uri,http://www.wikidata.org/entity/Q10095,en,literal,Annelise Coberger
9,uri,http://www.wikidata.org/entity/Q6419,en,literal,Barbora Špotáková
10,uri,http://www.wikidata.org/entity/Q6348,en,literal,Caterine Ibargüen
11,uri,http://www.wikidata.org/entity/Q6427,en,literal,Christina Obergföll
12,uri,http://www.wikidata.org/entity/Q7658,en,literal,Heidi Weng
13,uri,http://www.wikidata.org/entity/Q10089,en,literal,Julia Mancuso
14,uri,http://www.wikidata.org/entity/Q9119,en,literal,Kenenisa Bekele
15,uri,http://www.wikidata.org/entity/Q10106,en,literal,Kerstin Szymkowiak
16,uri,http://www.wikidata.org/entity/Q5820,en,literal,Mariya Savinova
17,uri,http://www.wikidata.org/entity/Q9112,en,literal,Nick Willis
18,uri,http://www.wikidata.org/entity/Q9146,en,literal,Richard Mateelong
19,uri,http://www.wikidata.org/entity/Q9132,en,literal,Sileshi Sihine
20,uri,http://www.wikidata.org/entity/Q743755,en,literal,Thomas Jefferson
21,uri,http://www.wikidata.org/entity/Q9096,en,literal,Wilfred Bungei
22,uri,http://www.wikidata.org/entity/Q18718,en,literal,Géza Imre
23,uri,http://www.wikidata.org/entity/Q15751,en,literal,Jarkko Määttä
24,uri,http://www.wikidata.org/entity/Q25895,en,literal,Maria Mazina
25,uri,http://www.wikidata.org/entity/Q25918,en,literal,Yang Shaoqi
26,uri,http://www.wikidata.org/entity/Q23405,en,literal,Ted Ligety
27,uri,http://www.wikidata.org/entity/Q15750,en,literal,Timo Murama
28,uri,http://www.wikidata.org/entity/Q32478,en,literal,Amantle Montsho
29,uri,http://www.wikidata.org/entity/Q41708,en,literal,Andreas Wenzel
30,uri,http://www.wikidata.org/entity/Q41522,en,literal,Ard Schenk
31,uri,http://www.wikidata.org/entity/Q30767,en,literal,Caroline Wozniacki
32,uri,http://www.wikidata.org/entity/Q32014,en,literal,Éverton Lopes
33,uri,http://www.wikidata.org/entity/Q43362,en,literal,Léonhard Quaglia
34,uri,http://www.wikidata.org/entity/Q33721,en,literal,Leopoldo Sáinz de la Maza
35,uri,http://www.wikidata.org/entity/Q31677,en,literal,Natalia Málaga
36,uri,http://www.wikidata.org/entity/Q29184,en,literal,Trixi Worrack
37,uri,http://www.wikidata.org/entity/Q59555,en,literal,Alphonse Parfondry
38,uri,http://www.wikidata.org/entity/Q56660,en,literal,Amund Sjøbrend
39,uri,http://www.wikidata.org/entity/Q48648,en,literal,Aranka Binder
40,uri,http://www.wikidata.org/entity/Q44341,en,literal,Guillermo Betancourt
41,uri,http://www.wikidata.org/entity/Q60288,en,literal,Gunda Niemann-Stirnemann
42,uri,http://www.wikidata.org/entity/Q1384076,en,literal,Jack London
