,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sexgenderLabel.xml:lang,sexgenderLabel.type,sexgenderLabel.value
0,uri,http://www.wikidata.org/entity/Q221185,en,literal,Kateřina Emmons,en,literal,female
1,uri,http://www.wikidata.org/entity/Q222350,en,literal,Piotr Haczek,en,literal,male
2,uri,http://www.wikidata.org/entity/Q225913,en,literal,Miruts Yifter,en,literal,male
3,uri,http://www.wikidata.org/entity/Q225985,en,literal,Eder Sánchez Arraiz,en,literal,male
4,uri,http://www.wikidata.org/entity/Q227338,en,literal,Zsolt Borkai,en,literal,male
5,uri,http://www.wikidata.org/entity/Q229015,en,literal,Krisztina Egerszegi,en,literal,female
6,uri,http://www.wikidata.org/entity/Q230156,en,literal,Simona Halep,en,literal,female
7,uri,http://www.wikidata.org/entity/Q230260,en,literal,Carla Suárez Navarro,en,literal,female
8,uri,http://www.wikidata.org/entity/Q230954,en,literal,Shirley Strickland,en,literal,female
9,uri,http://www.wikidata.org/entity/Q231513,en,literal,Bonnie Blair,en,literal,female
10,uri,http://www.wikidata.org/entity/Q231965,en,literal,Kajsa Bergqvist,en,literal,female
11,uri,http://www.wikidata.org/entity/Q231979,en,literal,Gabriela Szabo,en,literal,female
12,uri,http://www.wikidata.org/entity/Q232831,en,literal,Suzanne Lenglen,en,literal,female
13,uri,http://www.wikidata.org/entity/Q233308,en,literal,Ivet Lalova-Collio,en,literal,female
14,uri,http://www.wikidata.org/entity/Q233498,en,literal,Michaela Dorfmeister,en,literal,female
15,uri,http://www.wikidata.org/entity/Q233672,en,literal,Paula Radcliffe,en,literal,female
16,uri,http://www.wikidata.org/entity/Q233834,en,literal,Jeannie Longo,en,literal,female
17,uri,http://www.wikidata.org/entity/Q233925,en,literal,Tamara Bykova,en,literal,female
18,uri,http://www.wikidata.org/entity/Q234158,en,literal,Leontien van Moorsel,en,literal,female
19,uri,http://www.wikidata.org/entity/Q234488,en,literal,Trine Hattestad,en,literal,female
20,uri,http://www.wikidata.org/entity/Q234886,en,literal,Pernilla Wiberg,en,literal,female
21,uri,http://www.wikidata.org/entity/Q235035,en,literal,Sandra Izbașa,en,literal,female
22,uri,http://www.wikidata.org/entity/Q235058,en,literal,Olga Zaitseva,en,literal,female
23,uri,http://www.wikidata.org/entity/Q235151,en,literal,Betty Robinson,en,literal,female
24,uri,http://www.wikidata.org/entity/Q235341,en,literal,Yvonne van Gennip,en,literal,female
25,uri,http://www.wikidata.org/entity/Q235527,en,literal,Helena Ekholm,en,literal,female
26,uri,http://www.wikidata.org/entity/Q235624,en,literal,Fani Chalkia,en,literal,female
27,uri,http://www.wikidata.org/entity/Q235774,en,literal,Rica Reinisch,en,literal,female
28,uri,http://www.wikidata.org/entity/Q235780,en,literal,Femke Heemskerk,en,literal,female
29,uri,http://www.wikidata.org/entity/Q236306,en,literal,Tatyana Kotova,en,literal,female
30,uri,http://www.wikidata.org/entity/Q236423,en,literal,Inge Dekker,en,literal,female
31,uri,http://www.wikidata.org/entity/Q237280,en,literal,Simona Amânar,en,literal,female
32,uri,http://www.wikidata.org/entity/Q238219,en,literal,Fiona May,en,literal,female
33,uri,http://www.wikidata.org/entity/Q238700,en,literal,Mizuki Noguchi,en,literal,female
34,uri,http://www.wikidata.org/entity/Q239139,en,literal,Kerron Stewart,en,literal,female
35,uri,http://www.wikidata.org/entity/Q239979,en,literal,Ibolya Csák,en,literal,female
36,uri,http://www.wikidata.org/entity/Q240036,en,literal,Masako Hozumi,en,literal,female
37,uri,http://www.wikidata.org/entity/Q240351,en,literal,Sara Isaković,en,literal,female
38,uri,http://www.wikidata.org/entity/Q241057,en,literal,Helena Fibingerová,en,literal,female
39,uri,http://www.wikidata.org/entity/Q241266,en,literal,Maksim Anisimov,en,literal,male
40,uri,http://www.wikidata.org/entity/Q241563,en,literal,Sari Essayah,en,literal,female
41,uri,http://www.wikidata.org/entity/Q241737,en,literal,Joan Benoit Samuelson,en,literal,female
42,uri,http://www.wikidata.org/entity/Q242362,en,literal,Ethel Smith,en,literal,female
43,uri,http://www.wikidata.org/entity/Q242413,en,literal,Tessa Sanderson,en,literal,female
44,uri,http://www.wikidata.org/entity/Q242827,en,literal,Maki Tabata,en,literal,female
45,uri,http://www.wikidata.org/entity/Q245241,en,literal,Marin Čilić,en,literal,male
46,uri,http://www.wikidata.org/entity/Q251935,en,literal,Marine Debauve,en,literal,female
47,uri,http://www.wikidata.org/entity/Q252928,en,literal,Alena Zavarzina,en,literal,female
48,uri,http://www.wikidata.org/entity/Q253461,en,literal,Anna Bessonova,en,literal,female
49,uri,http://www.wikidata.org/entity/Q253674,en,literal,Nicole Haislett,en,literal,female
50,uri,http://www.wikidata.org/entity/Q253853,en,literal,Nao Kodaira,en,literal,female
51,uri,http://www.wikidata.org/entity/Q254132,en,literal,Olga Shishigina,en,literal,female
52,uri,http://www.wikidata.org/entity/Q254765,en,literal,Lothar Stäber,en,literal,male
53,uri,http://www.wikidata.org/entity/Q255482,en,literal,Félicia Ballanger,en,literal,female
54,uri,http://www.wikidata.org/entity/Q256083,en,literal,Elena Grushina,en,literal,female
55,uri,http://www.wikidata.org/entity/Q256226,en,literal,Max Stiepl,en,literal,male
56,uri,http://www.wikidata.org/entity/Q256770,en,literal,Ingrid Kristiansen,en,literal,female
57,uri,http://www.wikidata.org/entity/Q258287,en,literal,Gábor Benedek,en,literal,male
58,uri,http://www.wikidata.org/entity/Q258545,en,literal,Cao Lei,en,literal,female
59,uri,http://www.wikidata.org/entity/Q258556,en,literal,Ene Franca Idoko,en,literal,female
60,uri,http://www.wikidata.org/entity/Q259452,en,literal,Andrej Golic,en,literal,male
61,uri,http://www.wikidata.org/entity/Q259638,en,literal,Ebba Jungmark,en,literal,female
62,uri,http://www.wikidata.org/entity/Q259744,en,literal,Britta Johansson Norgren,en,literal,female
63,uri,http://www.wikidata.org/entity/Q260061,en,literal,Éva Tófalvi,en,literal,female
64,uri,http://www.wikidata.org/entity/Q260251,en,literal,Letitia Vriesde,en,literal,female
65,uri,http://www.wikidata.org/entity/Q260313,en,literal,Domenico Valentino,en,literal,male
66,uri,http://www.wikidata.org/entity/Q260481,en,literal,Cathrine Lindahl,en,literal,female
67,uri,http://www.wikidata.org/entity/Q260677,en,literal,Elana Meyer,en,literal,female
68,uri,http://www.wikidata.org/entity/Q260805,en,literal,Herma Bauma,en,literal,female
69,uri,http://www.wikidata.org/entity/Q260861,en,literal,Aleksander Tammert,en,literal,male
70,uri,http://www.wikidata.org/entity/Q260978,en,literal,Berhane Adere,en,literal,female
71,uri,http://www.wikidata.org/entity/Q261260,en,literal,Grace Jackson,en,literal,female
72,uri,http://www.wikidata.org/entity/Q261272,en,literal,Catriona Le May Doan,en,literal,female
73,uri,http://www.wikidata.org/entity/Q261602,en,literal,Jasna Šekarić,en,literal,female
74,uri,http://www.wikidata.org/entity/Q261670,en,literal,Maria Orlova,en,literal,female
75,uri,http://www.wikidata.org/entity/Q261693,en,literal,Juanín García,en,literal,male
76,uri,http://www.wikidata.org/entity/Q263032,en,literal,Marit Malm Frafjord,en,literal,female
77,uri,http://www.wikidata.org/entity/Q263086,en,literal,Bertrand Gille,en,literal,male
78,uri,http://www.wikidata.org/entity/Q263914,en,literal,Milica Mandić,en,literal,female
79,uri,http://www.wikidata.org/entity/Q264031,en,literal,Chryste Gaines,en,literal,female
80,uri,http://www.wikidata.org/entity/Q264170,en,literal,Laurine van Riessen,en,literal,female
81,uri,http://www.wikidata.org/entity/Q264217,en,literal,Elena Runggaldier,en,literal,female
82,uri,http://www.wikidata.org/entity/Q264240,en,literal,Ildikó Újlaky-Rejtő,en,literal,female
