,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sports.type,sports.value
0,uri,http://www.wikidata.org/entity/Q65678,en,literal,Florence Ekpo-Umoh,literal,"athletics competitor, sprinter"
1,uri,http://www.wikidata.org/entity/Q65739,en,literal,Franziska Weber,literal,kayaker
2,uri,http://www.wikidata.org/entity/Q65752,en,literal,Bastian Steger,literal,table tennis player
3,uri,http://www.wikidata.org/entity/Q66014,en,literal,Jörg Fiedler,literal,fencer
4,uri,http://www.wikidata.org/entity/Q66947,en,literal,Anne Cibis,literal,"athletics competitor, sprinter"
5,uri,http://www.wikidata.org/entity/Q66989,en,literal,Harald Czudaj,literal,bobsledder
6,uri,http://www.wikidata.org/entity/Q67994,en,literal,Hansjörg Tauscher,literal,alpine skier
7,uri,http://www.wikidata.org/entity/Q68196,en,literal,Cornelia Pfohl,literal,archer
8,uri,http://www.wikidata.org/entity/Q70569,en,literal,Inge Helten,literal,"athletics competitor, sprinter"
9,uri,http://www.wikidata.org/entity/Q70920,en,literal,Angela Maurer,literal,swimmer
10,uri,http://www.wikidata.org/entity/Q71312,en,literal,Josef Fendt,literal,"luger, sports official"
11,uri,http://www.wikidata.org/entity/Q71893,en,literal,Oskar Deecke,literal,field hockey player
12,uri,http://www.wikidata.org/entity/Q71979,en,literal,Karl Link,literal,sport cyclist
13,uri,http://www.wikidata.org/entity/Q73271,en,literal,Daniela Reimer,literal,rower
14,uri,http://www.wikidata.org/entity/Q73946,en,literal,Petra Felke,literal,"javelin thrower, athletics competitor"
15,uri,http://www.wikidata.org/entity/Q77167,en,literal,Julia Görges,literal,tennis player
16,uri,http://www.wikidata.org/entity/Q77178,en,literal,Angelique Kerber,literal,"athlete, tennis player"
17,uri,http://www.wikidata.org/entity/Q81480,en,literal,Angelika Bahmann,literal,"canoeist, coach"
18,uri,http://www.wikidata.org/entity/Q83007,en,literal,Christine Mailliet,literal,swimmer
19,uri,http://www.wikidata.org/entity/Q84985,en,literal,Heinrich Isser,literal,"bobsledder, luger"
20,uri,http://www.wikidata.org/entity/Q85030,en,literal,Christian Dünnes,literal,"volleyball player, beach volleyball player"
21,uri,http://www.wikidata.org/entity/Q85478,en,literal,Cornelia Dumler,literal,"volleyball player, beach volleyball player"
22,uri,http://www.wikidata.org/entity/Q85954,en,literal,Bahne Rabe,literal,rower
23,uri,http://www.wikidata.org/entity/Q86125,en,literal,Anke Kühn,literal,field hockey player
24,uri,http://www.wikidata.org/entity/Q89626,en,literal,Andy Kapp,literal,curler
25,uri,http://www.wikidata.org/entity/Q90774,en,literal,Anna Wörner,literal,freestyle skier
26,uri,http://www.wikidata.org/entity/Q91193,en,literal,Lisa Brennauer,literal,sport cyclist
27,uri,http://www.wikidata.org/entity/Q91269,en,literal,Anja Noske,literal,rower
28,uri,http://www.wikidata.org/entity/Q91305,en,literal,Kraft Schepke,literal,rower
29,uri,http://www.wikidata.org/entity/Q91314,en,literal,Dieter Arend,literal,coxswain
30,uri,http://www.wikidata.org/entity/Q93764,en,literal,Liese Prokop,literal,"pentathlete, athletics competitor, politician, minister"
31,uri,http://www.wikidata.org/entity/Q95175,en,literal,André Weßels,literal,fencer
32,uri,http://www.wikidata.org/entity/Q95334,en,literal,Christian Blunck,literal,field hockey player
33,uri,http://www.wikidata.org/entity/Q95612,en,literal,Carolin Golubytskyi,literal,fencer
34,uri,http://www.wikidata.org/entity/Q95653,en,literal,Caroline Masson,literal,golfer
35,uri,http://www.wikidata.org/entity/Q95731,en,literal,Christian Ahlmann,literal,show jumper
36,uri,http://www.wikidata.org/entity/Q95882,en,literal,Konrad Wirnhier,literal,sport shooter
37,uri,http://www.wikidata.org/entity/Q743755,en,literal,Thomas Jefferson,literal,sprinter
38,uri,http://www.wikidata.org/entity/Q1384076,en,literal,Jack London,literal,athletics competitor
39,uri,http://www.wikidata.org/entity/Q5803270,en,literal,Hans Herrmann,literal,cross-country skier
40,uri,http://www.wikidata.org/entity/Q11784656,en,literal,Mohamed Zidan,literal,rower
41,uri,http://www.wikidata.org/entity/Q1672,en,literal,Dejen Gebremeskel,literal,"athletics competitor, long-distance runner"
42,uri,http://www.wikidata.org/entity/Q1681,en,literal,Abel Mutai,literal,"athletics competitor, long-distance runner"
43,uri,http://www.wikidata.org/entity/Q1712,en,literal,Erick Barrondo,literal,"racewalker, athletics competitor"
44,uri,http://www.wikidata.org/entity/Q1738,en,literal,Robert Grabarz,literal,athletics competitor
45,uri,http://www.wikidata.org/entity/Q1755,en,literal,Tomasz Majewski,literal,"shot putter, athletics competitor"
46,uri,http://www.wikidata.org/entity/Q1789,en,literal,Ashton Eaton,literal,combined track and field event athlete
47,uri,http://www.wikidata.org/entity/Q1956,en,literal,Hermann Maier,literal,"ski instructor, alpine skier"
48,uri,http://www.wikidata.org/entity/Q4261,en,literal,Michel Platini,literal,"sports official, association football player, association football manager"
49,uri,http://www.wikidata.org/entity/Q5820,en,literal,Mariya Savinova,literal,"middle-distance runner, athletics competitor"
50,uri,http://www.wikidata.org/entity/Q6348,en,literal,Caterine Ibargüen,literal,athletics competitor
51,uri,http://www.wikidata.org/entity/Q6419,en,literal,Barbora Špotáková,literal,"javelin thrower, athletics competitor"
52,uri,http://www.wikidata.org/entity/Q6427,en,literal,Christina Obergföll,literal,"javelin thrower, athletics competitor"
53,uri,http://www.wikidata.org/entity/Q7658,en,literal,Heidi Weng,literal,"cross-country skier, athletics competitor"
54,uri,http://www.wikidata.org/entity/Q9096,en,literal,Wilfred Bungei,literal,middle-distance runner
55,uri,http://www.wikidata.org/entity/Q9112,en,literal,Nick Willis,literal,middle-distance runner
56,uri,http://www.wikidata.org/entity/Q9119,en,literal,Kenenisa Bekele,literal,"athletics competitor, long-distance runner"
57,uri,http://www.wikidata.org/entity/Q9132,en,literal,Sileshi Sihine,literal,"athletics competitor, long-distance runner"
58,uri,http://www.wikidata.org/entity/Q9146,en,literal,Richard Mateelong,literal,athletics competitor
59,uri,http://www.wikidata.org/entity/Q10089,en,literal,Julia Mancuso,literal,alpine skier
60,uri,http://www.wikidata.org/entity/Q10095,en,literal,Annelise Coberger,literal,"alpine skier, police officer"
61,uri,http://www.wikidata.org/entity/Q10106,en,literal,Kerstin Szymkowiak,literal,skeleton racer
62,uri,http://www.wikidata.org/entity/Q15750,en,literal,Timo Murama,literal,"Nordic combined skier, ski jumper"
63,uri,http://www.wikidata.org/entity/Q15751,en,literal,Jarkko Määttä,literal,ski jumper
64,uri,http://www.wikidata.org/entity/Q18718,en,literal,Géza Imre,literal,fencer
65,uri,http://www.wikidata.org/entity/Q23405,en,literal,Ted Ligety,literal,alpine skier
66,uri,http://www.wikidata.org/entity/Q25895,en,literal,Maria Mazina,literal,fencer
67,uri,http://www.wikidata.org/entity/Q25918,en,literal,Yang Shaoqi,literal,fencer
68,uri,http://www.wikidata.org/entity/Q29184,en,literal,Trixi Worrack,literal,sport cyclist
69,uri,http://www.wikidata.org/entity/Q30767,en,literal,Caroline Wozniacki,literal,tennis player
70,uri,http://www.wikidata.org/entity/Q31677,en,literal,Natalia Málaga,literal,"volleyball coach, volleyball player"
71,uri,http://www.wikidata.org/entity/Q65541,en,literal,Hannes Aigner,literal,"kayaker, soldier"
72,uri,http://www.wikidata.org/entity/Q78622,en,literal,Tina Weirather,literal,"alpine skier, sports commentator"
73,uri,http://www.wikidata.org/entity/Q85495,en,literal,Steffi Kräker,literal,artistic gymnast
74,uri,http://www.wikidata.org/entity/Q87340,en,literal,Meike Freitag,literal,swimmer
75,uri,http://www.wikidata.org/entity/Q88188,en,literal,Toni Seifert,literal,rower
76,uri,http://www.wikidata.org/entity/Q88637,en,literal,Michael Roth,literal,handball player
77,uri,http://www.wikidata.org/entity/Q89819,en,literal,Wolfgang Steinmayr,literal,sport cyclist
78,uri,http://www.wikidata.org/entity/Q94763,en,literal,Patrick Chan,literal,figure skater
79,uri,http://www.wikidata.org/entity/Q99089,en,literal,Anton Kehle,literal,ice hockey player
80,uri,http://www.wikidata.org/entity/Q100074,en,literal,Jessie Diggins,literal,"cross-country skier, athlete"
81,uri,http://www.wikidata.org/entity/Q100215,en,literal,Justus Scharowsky,literal,field hockey player
82,uri,http://www.wikidata.org/entity/Q100273,en,literal,Sabine Huth,literal,curler
83,uri,http://www.wikidata.org/entity/Q101403,en,literal,Beate Bühler,literal,"beach volleyball player, volleyball player"
84,uri,http://www.wikidata.org/entity/Q102013,en,literal,Tanja Hart,literal,volleyball player
85,uri,http://www.wikidata.org/entity/Q103772,en,literal,Jörg Lucke,literal,rower
86,uri,http://www.wikidata.org/entity/Q106468,en,literal,Josef Ferstl,literal,"customs officer, alpine skier"
87,uri,http://www.wikidata.org/entity/Q107657,en,literal,Peter Berger,literal,rower
88,uri,http://www.wikidata.org/entity/Q107864,en,literal,Christoph Fildebrandt,literal,swimmer
89,uri,http://www.wikidata.org/entity/Q108118,en,literal,Claudia Rath,literal,athletics competitor
90,uri,http://www.wikidata.org/entity/Q109259,en,literal,Horst Effertz,literal,"rower, soldier"
91,uri,http://www.wikidata.org/entity/Q112995,en,literal,Wolfgang Dessecker,literal,athletics competitor
92,uri,http://www.wikidata.org/entity/Q116631,en,literal,André Bucher,literal,"middle-distance runner, athletics competitor"
93,uri,http://www.wikidata.org/entity/Q117228,en,literal,Luigi Pennacchio,literal,ski jumper
94,uri,http://www.wikidata.org/entity/Q117328,en,literal,Julia Müller,literal,field hockey player
95,uri,http://www.wikidata.org/entity/Q117632,en,literal,Sina Candrian,literal,snowboarder
96,uri,http://www.wikidata.org/entity/Q117730,en,literal,Erik Svensson,literal,athletics competitor
97,uri,http://www.wikidata.org/entity/Q117754,en,literal,Detelin Dalakliev,literal,boxer
98,uri,http://www.wikidata.org/entity/Q119951,en,literal,Aivaras Baranauskas,literal,sport cyclist
99,uri,http://www.wikidata.org/entity/Q120479,en,literal,Tarjei Bø,literal,"biathlete, cross-country skier"
100,uri,http://www.wikidata.org/entity/Q121188,en,literal,Jana Berezko-Marggrander,literal,rhythmic gymnast
101,uri,http://www.wikidata.org/entity/Q124752,en,literal,Helga Hoffmann,literal,athletics competitor
102,uri,http://www.wikidata.org/entity/Q125707,en,literal,Mujinga Kambundji,literal,sprinter
103,uri,http://www.wikidata.org/entity/Q126037,en,literal,Yūki Itō,literal,ski jumper
104,uri,http://www.wikidata.org/entity/Q126119,en,literal,Michał Jeliński,literal,rower
105,uri,http://www.wikidata.org/entity/Q128360,en,literal,Eirik Brandsdal,literal,cross-country skier
106,uri,http://www.wikidata.org/entity/Q128517,en,literal,Romain Sassot,literal,swimmer
107,uri,http://www.wikidata.org/entity/Q132147,en,literal,Sania Mirza,literal,tennis player
108,uri,http://www.wikidata.org/entity/Q132303,en,literal,Robert Lindsay,literal,athletics competitor
109,uri,http://www.wikidata.org/entity/Q132488,en,literal,Florence Baverel-Robert,literal,"biathlete, cross-country skier"
110,uri,http://www.wikidata.org/entity/Q138587,en,literal,Herbert Morris,literal,rower
111,uri,http://www.wikidata.org/entity/Q139616,en,literal,Inārs Kivlenieks,literal,luger
112,uri,http://www.wikidata.org/entity/Q142045,en,literal,Marco Mariani,literal,"curling coach, curler, ice hockey player"
113,uri,http://www.wikidata.org/entity/Q145101,en,literal,Itte Detenamo,literal,weightlifter
114,uri,http://www.wikidata.org/entity/Q153810,en,literal,Judikje Simons,literal,artistic gymnast
115,uri,http://www.wikidata.org/entity/Q155109,en,literal,Giovanna Trillini,literal,fencer
116,uri,http://www.wikidata.org/entity/Q156182,en,literal,Carl Schuhmann,literal,"weightlifter, artistic gymnast, athletics competitor, goldsmith"
117,uri,http://www.wikidata.org/entity/Q164041,en,literal,Horst Weigang,literal,"association football manager, association football player"
118,uri,http://www.wikidata.org/entity/Q168086,en,literal,Zbigniew Jaremski,literal,"athletics competitor, sprinter"
119,uri,http://www.wikidata.org/entity/Q168495,en,literal,Boughera El Ouafi,literal,"marathon runner, athletics competitor, long-distance runner"
120,uri,http://www.wikidata.org/entity/Q169044,en,literal,Zdeněk Pecka,literal,"rowing coach, rower"
121,uri,http://www.wikidata.org/entity/Q169266,en,literal,Zdzisław Krzyszkowiak,literal,"athletics competitor, long-distance runner"
122,uri,http://www.wikidata.org/entity/Q171306,en,literal,Shin Joon-sup,literal,boxer
123,uri,http://www.wikidata.org/entity/Q175684,en,literal,Reinhold Pommer,literal,sport cyclist
124,uri,http://www.wikidata.org/entity/Q177457,en,literal,Hu Jia,literal,competitive diver
125,uri,http://www.wikidata.org/entity/Q178271,en,literal,Volodymyr Duma,literal,sport cyclist
126,uri,http://www.wikidata.org/entity/Q179364,en,literal,Andrei Pavel,literal,"tennis coach, tennis player"
127,uri,http://www.wikidata.org/entity/Q179607,en,literal,Erik Read,literal,alpine skier
128,uri,http://www.wikidata.org/entity/Q180299,en,literal,Veli Saarinen,literal,cross-country skier
129,uri,http://www.wikidata.org/entity/Q180487,en,literal,Georges Rigal,literal,"water polo player, swimmer"
130,uri,http://www.wikidata.org/entity/Q180748,en,literal,Mark Spitz,literal,swimmer
131,uri,http://www.wikidata.org/entity/Q187488,en,literal,Aaron Cook,literal,taekwondo athlete
132,uri,http://www.wikidata.org/entity/Q190924,en,literal,Michael Johnson,literal,"athletics competitor, sprinter"
133,uri,http://www.wikidata.org/entity/Q192033,en,literal,Zersenay Tadese,literal,"marathon runner, athletics competitor, long-distance runner"
134,uri,http://www.wikidata.org/entity/Q194148,en,literal,Sandro Sambugaro,literal,ski jumper
135,uri,http://www.wikidata.org/entity/Q197185,en,literal,Zhang Guowei,literal,athletics competitor
136,uri,http://www.wikidata.org/entity/Q197209,en,literal,Zhang Jiewen,literal,badminton player
137,uri,http://www.wikidata.org/entity/Q197288,en,literal,Zhang Shuang,literal,speed skater
138,uri,http://www.wikidata.org/entity/Q197805,en,literal,Zhong Huandi,literal,athletics competitor
139,uri,http://www.wikidata.org/entity/Q197944,en,literal,Zhor El Kamch,literal,athletics competitor
140,uri,http://www.wikidata.org/entity/Q198575,en,literal,Suleiman Nyambui,literal,"middle-distance runner, marathon runner, athletics competitor, long-distance runner"
141,uri,http://www.wikidata.org/entity/Q198672,en,literal,Evgenia Tarasova,literal,figure skater
142,uri,http://www.wikidata.org/entity/Q198913,en,literal,Nina Statkevich,literal,speed skater
143,uri,http://www.wikidata.org/entity/Q198965,en,literal,Erwina Ryś-Ferens,literal,speed skater
144,uri,http://www.wikidata.org/entity/Q200852,en,literal,Günther Huber,literal,"bobsledder, luger"
145,uri,http://www.wikidata.org/entity/Q202711,en,literal,Jānis Sprukts,literal,ice hockey player
146,uri,http://www.wikidata.org/entity/Q203291,en,literal,Ana Drev,literal,alpine skier
147,uri,http://www.wikidata.org/entity/Q203982,en,literal,Adam Małysz,literal,ski jumper
148,uri,http://www.wikidata.org/entity/Q203991,en,literal,Kaitlyn Lawes,literal,curler
149,uri,http://www.wikidata.org/entity/Q204620,en,literal,Natalya Gorelova,literal,middle-distance runner
150,uri,http://www.wikidata.org/entity/Q207358,en,literal,João Havelange,literal,"water polo player, swimmer, lawyer, politician"
151,uri,http://www.wikidata.org/entity/Q208693,en,literal,Javier Sotomayor,literal,high jumper
152,uri,http://www.wikidata.org/entity/Q209193,en,literal,Darya Domracheva,literal,"biathlon coach, biathlete"
153,uri,http://www.wikidata.org/entity/Q213427,en,literal,Aaron Ramsey,literal,association football player
154,uri,http://www.wikidata.org/entity/Q217354,en,literal,Gail Devers,literal,"athletics competitor, sprinter"
155,uri,http://www.wikidata.org/entity/Q219040,en,literal,Zoltán Szécsi,literal,"water polo coach, water polo player"
156,uri,http://www.wikidata.org/entity/Q219309,en,literal,Nikolai Andrianov,literal,artistic gymnast
157,uri,http://www.wikidata.org/entity/Q220519,en,literal,Zoran Janković,literal,water polo player
158,uri,http://www.wikidata.org/entity/Q221185,en,literal,Kateřina Emmons,literal,sport shooter
159,uri,http://www.wikidata.org/entity/Q222350,en,literal,Piotr Haczek,literal,athletics competitor
160,uri,http://www.wikidata.org/entity/Q225913,en,literal,Miruts Yifter,literal,long-distance runner
161,uri,http://www.wikidata.org/entity/Q225985,en,literal,Eder Sánchez Arraiz,literal,athletics competitor
162,uri,http://www.wikidata.org/entity/Q227338,en,literal,Zsolt Borkai,literal,"artistic gymnast, local politician"
163,uri,http://www.wikidata.org/entity/Q229015,en,literal,Krisztina Egerszegi,literal,swimmer
164,uri,http://www.wikidata.org/entity/Q229640,en,literal,Anastasiya Kuzmina,literal,biathlete
165,uri,http://www.wikidata.org/entity/Q230156,en,literal,Simona Halep,literal,tennis player
166,uri,http://www.wikidata.org/entity/Q230260,en,literal,Carla Suárez Navarro,literal,tennis player
167,uri,http://www.wikidata.org/entity/Q230954,en,literal,Shirley Strickland,literal,"athletics competitor, sprinter"
168,uri,http://www.wikidata.org/entity/Q231513,en,literal,Bonnie Blair,literal,"short track speed skater, speed skater"
169,uri,http://www.wikidata.org/entity/Q231965,en,literal,Kajsa Bergqvist,literal,athletics competitor
170,uri,http://www.wikidata.org/entity/Q231979,en,literal,Gabriela Szabo,literal,"middle-distance runner, athletics competitor, long-distance runner, politician"
171,uri,http://www.wikidata.org/entity/Q232831,en,literal,Suzanne Lenglen,literal,tennis player
