,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
0,uri,http://www.wikidata.org/entity/Q1696311,en,literal,Lennart Heimer
1,uri,http://www.wikidata.org/entity/Q1701091,en,literal,John Francis Marchment Middleton
2,uri,http://www.wikidata.org/entity/Q1710863,en,literal,Judah Moshe Eisenberg
3,uri,http://www.wikidata.org/entity/Q1711079,en,literal,Judith Shatin
4,uri,http://www.wikidata.org/entity/Q1729266,en,literal,Karen Parshall
5,uri,http://www.wikidata.org/entity/Q7411289,en,literal,Samuel E. Bodily
6,uri,http://www.wikidata.org/entity/Q7426853,en,literal,Satwant Pasricha
7,uri,http://www.wikidata.org/entity/Q7427319,en,literal,Saul Levmore
8,uri,http://www.wikidata.org/entity/Q7437343,en,literal,Scott T. Acton
9,uri,http://www.wikidata.org/entity/Q7609232,en,literal,Stephen Francis Barker
10,uri,http://www.wikidata.org/entity/Q7609641,en,literal,Stephen K. White
11,uri,http://www.wikidata.org/entity/Q7610057,en,literal,Stephen Mull
12,uri,http://www.wikidata.org/entity/Q9895,en,literal,Anita K. Jones
13,uri,http://www.wikidata.org/entity/Q14101,en,literal,Angela Orebaugh
14,uri,http://www.wikidata.org/entity/Q34296,en,literal,Woodrow Wilson
15,uri,http://www.wikidata.org/entity/Q18685805,en,literal,Ronnie Dugger
16,uri,http://www.wikidata.org/entity/Q18764092,en,literal,Harold A. Gould
17,uri,http://www.wikidata.org/entity/Q19241230,en,literal,Michael Hamilton Morgan
18,uri,http://www.wikidata.org/entity/Q19547910,en,literal,A. Velupillai
19,uri,http://www.wikidata.org/entity/Q19564363,en,literal,Irina Mitrea
20,uri,http://www.wikidata.org/entity/Q2044760,en,literal,David G. Bromley
21,uri,http://www.wikidata.org/entity/Q2076568,en,literal,Peter Landweber
22,uri,http://www.wikidata.org/entity/Q2093316,en,literal,Pierre Conner
23,uri,http://www.wikidata.org/entity/Q2158898,en,literal,Robert Evert Stong
24,uri,http://www.wikidata.org/entity/Q2161569,en,literal,Roger A. Pielke
25,uri,http://www.wikidata.org/entity/Q5487223,en,literal,Frank Hereford
26,uri,http://www.wikidata.org/entity/Q5497974,en,literal,Frederick Hartt
27,uri,http://www.wikidata.org/entity/Q5498476,en,literal,Frederick Nolting
28,uri,http://www.wikidata.org/entity/Q5499578,en,literal,Fredson Bowers
29,uri,http://www.wikidata.org/entity/Q5522901,en,literal,Gareth B. Matthews
30,uri,http://www.wikidata.org/entity/Q5525525,en,literal,Gary Marks
31,uri,http://www.wikidata.org/entity/Q202136,en,literal,Barry Marshall
32,uri,http://www.wikidata.org/entity/Q20829616,en,literal,Albert Lefevre
33,uri,http://www.wikidata.org/entity/Q20855537,en,literal,Franklin G. Miller
34,uri,http://www.wikidata.org/entity/Q21043270,en,literal,Martha A. Derthick
35,uri,http://www.wikidata.org/entity/Q21062322,en,literal,Anna Brickhouse
36,uri,http://www.wikidata.org/entity/Q21070213,en,literal,Noah K. Davis
37,uri,http://www.wikidata.org/entity/Q21165193,en,literal,Andrew John McWalter Millar
38,uri,http://www.wikidata.org/entity/Q21166283,en,literal,John Wesley Mitchell
39,uri,http://www.wikidata.org/entity/Q6132422,en,literal,James Davison Hunter
40,uri,http://www.wikidata.org/entity/Q6135647,en,literal,James Harry Michael Jr.
41,uri,http://www.wikidata.org/entity/Q6143406,en,literal,James Southall Wilson
42,uri,http://www.wikidata.org/entity/Q6143581,en,literal,James Sterling Young
43,uri,http://www.wikidata.org/entity/Q6154557,en,literal,Janine Jagger
44,uri,http://www.wikidata.org/entity/Q6170610,en,literal,Jean Edward Smith
45,uri,http://www.wikidata.org/entity/Q49828,en,literal,Randy Pausch
46,uri,http://www.wikidata.org/entity/Q64091,en,literal,Rolf Singer
47,uri,http://www.wikidata.org/entity/Q85747,en,literal,Gernot Zippe
48,uri,http://www.wikidata.org/entity/Q20172192,en,literal,Oron J. Hale
49,uri,http://www.wikidata.org/entity/Q20651079,en,literal,James Mercer Garnett
50,uri,http://www.wikidata.org/entity/Q20675671,en,literal,Timothy Salthouse
51,uri,http://www.wikidata.org/entity/Q20738708,en,literal,Jenny Strauss Clay
52,uri,http://www.wikidata.org/entity/Q20749106,en,literal,Nicolas Sihlé
53,uri,http://www.wikidata.org/entity/Q23931382,en,literal,Robert Dolan
54,uri,http://www.wikidata.org/entity/Q24207156,en,literal,Alfred Gessow
55,uri,http://www.wikidata.org/entity/Q24256418,en,literal,Virgil Scott Ward
56,uri,http://www.wikidata.org/entity/Q25927095,en,literal,Woolford Bales Baker
57,uri,http://www.wikidata.org/entity/Q27663335,en,literal,William A. Petri
58,uri,http://www.wikidata.org/entity/Q27916332,en,literal,Jonathan Kipnis
59,uri,http://www.wikidata.org/entity/Q27925340,en,literal,Elizabeth Barnes
60,uri,http://www.wikidata.org/entity/Q22096517,en,literal,Olivier Pfister
61,uri,http://www.wikidata.org/entity/Q22096791,en,literal,Brian Nosek
62,uri,http://www.wikidata.org/entity/Q22097182,en,literal,Peter Whiteman
63,uri,http://www.wikidata.org/entity/Q22137192,en,literal,Ephraim Rubenstein
64,uri,http://www.wikidata.org/entity/Q22813241,en,literal,Joanne M. Cohoon
65,uri,http://www.wikidata.org/entity/Q23014900,en,literal,Keith Beven
66,uri,http://www.wikidata.org/entity/Q2161885,en,literal,Roger Shattuck
67,uri,http://www.wikidata.org/entity/Q2341286,en,literal,William Barton Rogers
68,uri,http://www.wikidata.org/entity/Q2559671,en,literal,Samuel Alfred Mitchell
69,uri,http://www.wikidata.org/entity/Q2642732,en,literal,Alexander Newton Winchell
70,uri,http://www.wikidata.org/entity/Q2692082,en,literal,Nicolas Tournadre
71,uri,http://www.wikidata.org/entity/Q1738659,en,literal,Ken Ono
72,uri,http://www.wikidata.org/entity/Q1740168,en,literal,Kevin Hart
73,uri,http://www.wikidata.org/entity/Q1819016,en,literal,Leonard Mirman
74,uri,http://www.wikidata.org/entity/Q1873929,en,literal,Ludlow Griscom
75,uri,http://www.wikidata.org/entity/Q171989,en,literal,James R. Schlesinger
76,uri,http://www.wikidata.org/entity/Q188113,en,literal,Ronald Coase
77,uri,http://www.wikidata.org/entity/Q275776,en,literal,Wendy Palmer
78,uri,http://www.wikidata.org/entity/Q289337,en,literal,Kathryn C. Thornton
79,uri,http://www.wikidata.org/entity/Q295999,en,literal,Ferid Murad
80,uri,http://www.wikidata.org/entity/Q258523,en,literal,Bennett McCallum
81,uri,http://www.wikidata.org/entity/Q265986,en,literal,William F. Ruddiman
82,uri,http://www.wikidata.org/entity/Q205353,en,literal,James M. Buchanan
83,uri,http://www.wikidata.org/entity/Q5531151,en,literal,Gene D. Block
84,uri,http://www.wikidata.org/entity/Q5539466,en,literal,George Frederick Holmes
85,uri,http://www.wikidata.org/entity/Q5539634,en,literal,George Garrett
86,uri,http://www.wikidata.org/entity/Q5542439,en,literal,George Michael
87,uri,http://www.wikidata.org/entity/Q5606923,en,literal,Gregory G. Colomb
88,uri,http://www.wikidata.org/entity/Q5628518,en,literal,H. Richard Winn
89,uri,http://www.wikidata.org/entity/Q5672014,en,literal,Harry Rogers Pratt
90,uri,http://www.wikidata.org/entity/Q5701011,en,literal,M.R. Ghanoonparvar
91,uri,http://www.wikidata.org/entity/Q3246321,en,literal,Bruce Greyson
92,uri,http://www.wikidata.org/entity/Q3262682,en,literal,Louis Menand
93,uri,http://www.wikidata.org/entity/Q3302959,en,literal,Emma Vyssotsky
94,uri,http://www.wikidata.org/entity/Q3306602,en,literal,Merrill Elam
95,uri,http://www.wikidata.org/entity/Q13522421,en,literal,Andrew Jackson O'Shaughnessy
96,uri,http://www.wikidata.org/entity/Q14946814,en,literal,John Aitchison
97,uri,http://www.wikidata.org/entity/Q14946842,en,literal,Rita Felski
98,uri,http://www.wikidata.org/entity/Q7945359,en,literal,William Bradford Wilcox
99,uri,http://www.wikidata.org/entity/Q7945848,en,literal,W. Nathaniel Howell
100,uri,http://www.wikidata.org/entity/Q7945941,en,literal,W. Rice Warren
101,uri,http://www.wikidata.org/entity/Q7964381,en,literal,Walter Broadnax
102,uri,http://www.wikidata.org/entity/Q8004841,en,literal,William B. Quandt
103,uri,http://www.wikidata.org/entity/Q8012412,en,literal,William Holding Echols
104,uri,http://www.wikidata.org/entity/Q8014433,en,literal,William Lee Miller
105,uri,http://www.wikidata.org/entity/Q8018873,en,literal,William Stone Weedon
106,uri,http://www.wikidata.org/entity/Q15455690,en,literal,Paul Cantor
107,uri,http://www.wikidata.org/entity/Q15458428,en,literal,John A. Jane
108,uri,http://www.wikidata.org/entity/Q15462551,en,literal,Miloš Velimirović
109,uri,http://www.wikidata.org/entity/Q15491258,en,literal,James D. Savage
110,uri,http://www.wikidata.org/entity/Q15502161,en,literal,James Deese
111,uri,http://www.wikidata.org/entity/Q15514842,en,literal,Alan Taylor
112,uri,http://www.wikidata.org/entity/Q3140859,en,literal,"Horton Holcombe Hobbs, Jr."
113,uri,http://www.wikidata.org/entity/Q3146470,en,literal,I. J. Parker
114,uri,http://www.wikidata.org/entity/Q3161705,en,literal,Jan L. Perkowski
115,uri,http://www.wikidata.org/entity/Q3182089,en,literal,John Milbank
116,uri,http://www.wikidata.org/entity/Q3185398,en,literal,Joseph Médard Carrière
117,uri,http://www.wikidata.org/entity/Q3244789,en,literal,Jim B. Tucker
118,uri,http://www.wikidata.org/entity/Q7610721,en,literal,Stephen Tuttle
119,uri,http://www.wikidata.org/entity/Q7615091,en,literal,Steven Nock
120,uri,http://www.wikidata.org/entity/Q7693743,en,literal,Ted Snyder
121,uri,http://www.wikidata.org/entity/Q7702090,en,literal,Teresa A. Sullivan
122,uri,http://www.wikidata.org/entity/Q7706889,en,literal,Tetsundo Iwakuni
123,uri,http://www.wikidata.org/entity/Q7790651,en,literal,Thomas Hewitt Key
124,uri,http://www.wikidata.org/entity/Q7804525,en,literal,Tim Wu
125,uri,http://www.wikidata.org/entity/Q6172460,en,literal,Jeb Livingood
126,uri,http://www.wikidata.org/entity/Q6176088,en,literal,Jeffrey K. Olick
127,uri,http://www.wikidata.org/entity/Q6176191,en,literal,Jeffrey O'Connell
128,uri,http://www.wikidata.org/entity/Q6182840,en,literal,Jerome McGann
129,uri,http://www.wikidata.org/entity/Q6196309,en,literal,Jim Lark
130,uri,http://www.wikidata.org/entity/Q6208090,en,literal,Jody Kraus
131,uri,http://www.wikidata.org/entity/Q6216361,en,literal,Johanna Drucker
132,uri,http://www.wikidata.org/entity/Q6220050,en,literal,John B. Minor
133,uri,http://www.wikidata.org/entity/Q6222461,en,literal,John Bonvillian
