,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,ethnicity.type,ethnicity.value
0,uri,http://www.wikidata.org/entity/Q355793,en,literal,James Alan McPherson,literal,African Americans
1,uri,http://www.wikidata.org/entity/Q445740,en,literal,Rita Dove,literal,African Americans
2,uri,http://www.wikidata.org/entity/Q5053606,en,literal,Cato T. Laurencin,literal,African Americans
3,uri,http://www.wikidata.org/entity/Q5248236,en,literal,Deborah E. McDowell,literal,African Americans
4,uri,http://www.wikidata.org/entity/Q6306998,en,literal,Julian Bond,literal,African Americans
5,uri,http://www.wikidata.org/entity/Q6490695,en,literal,Larry Leon Palmer,literal,African Americans
6,uri,http://www.wikidata.org/entity/Q21964902,en,literal,Larycia Hawkins,literal,African Americans
7,uri,http://www.wikidata.org/entity/Q295999,en,literal,Ferid Murad,literal,"Albanians, Americans"
8,uri,http://www.wikidata.org/entity/Q34296,en,literal,Woodrow Wilson,literal,Scotch-Irish Americans
9,uri,http://www.wikidata.org/entity/Q4856431,en,literal,Bankole Johnson,literal,Yoruba people
10,uri,http://www.wikidata.org/entity/Q85747,en,literal,Gernot Zippe,literal,
11,uri,http://www.wikidata.org/entity/Q133222,en,literal,Clinton Davisson,literal,
12,uri,http://www.wikidata.org/entity/Q164311,en,literal,Kevin Granata,literal,
13,uri,http://www.wikidata.org/entity/Q167754,en,literal,Hardy Cross Dillard,literal,
14,uri,http://www.wikidata.org/entity/Q171989,en,literal,James R. Schlesinger,literal,
15,uri,http://www.wikidata.org/entity/Q188113,en,literal,Ronald Coase,literal,
16,uri,http://www.wikidata.org/entity/Q202136,en,literal,Barry Marshall,literal,
17,uri,http://www.wikidata.org/entity/Q205353,en,literal,James M. Buchanan,literal,
18,uri,http://www.wikidata.org/entity/Q206017,en,literal,Patrick Michaels,literal,
19,uri,http://www.wikidata.org/entity/Q216490,en,literal,Hugo Iltis,literal,
20,uri,http://www.wikidata.org/entity/Q242625,en,literal,Mary Ainsworth,literal,
21,uri,http://www.wikidata.org/entity/Q258523,en,literal,Bennett McCallum,literal,
22,uri,http://www.wikidata.org/entity/Q265986,en,literal,William F. Ruddiman,literal,
23,uri,http://www.wikidata.org/entity/Q275776,en,literal,Wendy Palmer,literal,
24,uri,http://www.wikidata.org/entity/Q289337,en,literal,Kathryn C. Thornton,literal,
25,uri,http://www.wikidata.org/entity/Q296423,en,literal,Alfred G. Gilman,literal,
26,uri,http://www.wikidata.org/entity/Q305410,en,literal,Shabtai Rosenne,literal,
27,uri,http://www.wikidata.org/entity/Q310781,en,literal,James Joseph Sylvester,literal,
28,uri,http://www.wikidata.org/entity/Q312279,en,literal,Tony Judt,literal,
29,uri,http://www.wikidata.org/entity/Q314292,en,literal,Eben Moglen,literal,
30,uri,http://www.wikidata.org/entity/Q344157,en,literal,Andrew Stevenson,literal,
31,uri,http://www.wikidata.org/entity/Q348235,en,literal,Trinh Xuan Thuan,literal,
32,uri,http://www.wikidata.org/entity/Q348812,en,literal,Vamik Volkan,literal,
33,uri,http://www.wikidata.org/entity/Q366340,en,literal,Fred Singer,literal,
34,uri,http://www.wikidata.org/entity/Q372743,en,literal,Alexander Hugh Holmes Stuart,literal,
35,uri,http://www.wikidata.org/entity/Q430037,en,literal,Peter van de Kamp,literal,
36,uri,http://www.wikidata.org/entity/Q437371,en,literal,Gresham Sykes,literal,
37,uri,http://www.wikidata.org/entity/Q444433,en,literal,Marek Jan Chodakiewicz,literal,
38,uri,http://www.wikidata.org/entity/Q449689,en,literal,John W. Snow,literal,
39,uri,http://www.wikidata.org/entity/Q452145,en,literal,Ann Beattie,literal,
40,uri,http://www.wikidata.org/entity/Q464371,en,literal,Maryse Condé,literal,
41,uri,http://www.wikidata.org/entity/Q467312,en,literal,Cora Diamond,literal,
42,uri,http://www.wikidata.org/entity/Q524236,en,literal,J. Lawrence Smith,literal,
43,uri,http://www.wikidata.org/entity/Q528096,en,literal,Deborah Eisenberg,literal,
44,uri,http://www.wikidata.org/entity/Q537426,en,literal,James Deetz,literal,
45,uri,http://www.wikidata.org/entity/Q558377,en,literal,Wojciech Roszkowski,literal,
46,uri,http://www.wikidata.org/entity/Q565495,en,literal,Joseph Wolpe,literal,
47,uri,http://www.wikidata.org/entity/Q633049,en,literal,Archibald A. Hill,literal,
48,uri,http://www.wikidata.org/entity/Q633081,en,literal,Michael E. Mann,literal,
49,uri,http://www.wikidata.org/entity/Q671393,en,literal,David D. Newsom,literal,
50,uri,http://www.wikidata.org/entity/Q679164,en,literal,Dumas Malone,literal,
51,uri,http://www.wikidata.org/entity/Q703878,en,literal,Herbert Stein,literal,
52,uri,http://www.wikidata.org/entity/Q709351,en,literal,Arthur Fickenscher,literal,
53,uri,http://www.wikidata.org/entity/Q731300,en,literal,Ian Stevenson,literal,
54,uri,http://www.wikidata.org/entity/Q760328,en,literal,Ian Roderick Macneil,literal,
55,uri,http://www.wikidata.org/entity/Q766750,en,literal,Stéphane Audeguy,literal,
56,uri,http://www.wikidata.org/entity/Q845573,en,literal,Jonathan Haidt,literal,
57,uri,http://www.wikidata.org/entity/Q945845,en,literal,Ormond Stone,literal,
58,uri,http://www.wikidata.org/entity/Q973276,en,literal,Dell Hymes,literal,
59,uri,http://www.wikidata.org/entity/Q973327,en,literal,Fiske Kimball,literal,
60,uri,http://www.wikidata.org/entity/Q979076,en,literal,Peter Matthew Hillsman Taylor,literal,
61,uri,http://www.wikidata.org/entity/Q1064064,en,literal,Charles David Allis,literal,
62,uri,http://www.wikidata.org/entity/Q1065600,en,literal,Charles N. Brower,literal,
63,uri,http://www.wikidata.org/entity/Q1116470,en,literal,José María Valverde,literal,
64,uri,http://www.wikidata.org/entity/Q1173718,en,literal,David Bentley Hart,literal,
65,uri,http://www.wikidata.org/entity/Q1173853,en,literal,David Brydges,literal,
66,uri,http://www.wikidata.org/entity/Q1174571,en,literal,David Gordon White,literal,
67,uri,http://www.wikidata.org/entity/Q1183434,en,literal,Nicolás Cabrera,literal,
68,uri,http://www.wikidata.org/entity/Q1241017,en,literal,Carlos Eire,literal,
69,uri,http://www.wikidata.org/entity/Q1288794,en,literal,Alfred Burger,literal,
70,uri,http://www.wikidata.org/entity/Q1292667,en,literal,Edward J. McShane,literal,
71,uri,http://www.wikidata.org/entity/Q1294503,en,literal,Edwin E. Floyd,literal,
72,uri,http://www.wikidata.org/entity/Q1351528,en,literal,Alexander Vyssotsky,literal,
73,uri,http://www.wikidata.org/entity/Q1352885,en,literal,Harold Alden,literal,
74,uri,http://www.wikidata.org/entity/Q1362347,en,literal,Randall Thompson,literal,
75,uri,http://www.wikidata.org/entity/Q1373155,en,literal,Eugene Lane,literal,
76,uri,http://www.wikidata.org/entity/Q1392694,en,literal,John Houbolt,literal,
77,uri,http://www.wikidata.org/entity/Q1393363,en,literal,H. C. Erik Midelfort,literal,
78,uri,http://www.wikidata.org/entity/Q1422313,en,literal,Ross Levine,literal,
