,person.type,person.value,religion.xml:lang,religion.type,religion.value,personLabel.xml:lang,personLabel.type,personLabel.value
0,uri,http://www.wikidata.org/entity/Q348235,en,literal,Buddhism,en,literal,Trinh Xuan Thuan
1,uri,http://www.wikidata.org/entity/Q1686453,en,literal,Buddhism,en,literal,Jeffrey Hopkins
2,uri,http://www.wikidata.org/entity/Q17143971,en,literal,Buddhism,en,literal,Kurtis Schaeffer
3,uri,http://www.wikidata.org/entity/Q4665815,en,literal,Islam,en,literal,Abdulaziz Sachedina
4,uri,http://www.wikidata.org/entity/Q30323550,en,literal,Judaism,en,literal,Vanessa L. Ochs
5,uri,http://www.wikidata.org/entity/Q845573,en,literal,atheism,en,literal,Jonathan Haidt
6,uri,http://www.wikidata.org/entity/Q6283130,en,literal,atheism,en,literal,Joseph Fletcher
7,uri,http://www.wikidata.org/entity/Q4521730,en,literal,Hinduism,en,literal,Graham Schweig
8,uri,http://www.wikidata.org/entity/Q171989,en,literal,Lutheranism,en,literal,James R. Schlesinger
9,uri,http://www.wikidata.org/entity/Q6263713,en,literal,Anglicanism,en,literal,John Wheeler-Bennett
10,uri,http://www.wikidata.org/entity/Q6485803,en,literal,evangelical church,en,literal,Langdon Brown Gilkey
11,uri,http://www.wikidata.org/entity/Q1173718,en,literal,Eastern Orthodox Church,en,literal,David Bentley Hart
12,uri,http://www.wikidata.org/entity/Q7807415,en,literal,Judaism,en,literal,Timothy Naftali
13,uri,http://www.wikidata.org/entity/Q4893422,en,literal,atheism,en,literal,Bernard Mayes
14,uri,http://www.wikidata.org/entity/Q4711313,en,literal,Episcopal Church,en,literal,Albert Taylor Bledsoe
15,uri,http://www.wikidata.org/entity/Q34296,en,literal,Presbyterianism,en,literal,Woodrow Wilson
16,uri,http://www.wikidata.org/entity/Q49828,en,literal,Unitarian Universalism,en,literal,Randy Pausch
17,uri,http://www.wikidata.org/entity/Q3182089,en,literal,Anglicanism,en,literal,John Milbank
18,uri,http://www.wikidata.org/entity/Q4727143,en,literal,Anglicanism,en,literal,Alison Milbank
19,uri,http://www.wikidata.org/entity/Q85747,,,,en,literal,Gernot Zippe
20,uri,http://www.wikidata.org/entity/Q133222,,,,en,literal,Clinton Davisson
21,uri,http://www.wikidata.org/entity/Q164311,,,,en,literal,Kevin Granata
22,uri,http://www.wikidata.org/entity/Q167754,,,,en,literal,Hardy Cross Dillard
23,uri,http://www.wikidata.org/entity/Q188113,,,,en,literal,Ronald Coase
24,uri,http://www.wikidata.org/entity/Q202136,,,,en,literal,Barry Marshall
25,uri,http://www.wikidata.org/entity/Q205353,,,,en,literal,James M. Buchanan
26,uri,http://www.wikidata.org/entity/Q206017,,,,en,literal,Patrick Michaels
27,uri,http://www.wikidata.org/entity/Q216490,,,,en,literal,Hugo Iltis
28,uri,http://www.wikidata.org/entity/Q242625,,,,en,literal,Mary Ainsworth
29,uri,http://www.wikidata.org/entity/Q258523,,,,en,literal,Bennett McCallum
30,uri,http://www.wikidata.org/entity/Q265986,,,,en,literal,William F. Ruddiman
31,uri,http://www.wikidata.org/entity/Q275776,,,,en,literal,Wendy Palmer
32,uri,http://www.wikidata.org/entity/Q289337,,,,en,literal,Kathryn C. Thornton
33,uri,http://www.wikidata.org/entity/Q295999,,,,en,literal,Ferid Murad
34,uri,http://www.wikidata.org/entity/Q296423,,,,en,literal,Alfred G. Gilman
