,person.type,person.value,sexorgender.xml:lang,sexorgender.type,sexorgender.value,personLabel.xml:lang,personLabel.type,personLabel.value
0,uri,http://www.wikidata.org/entity/Q242625,en,literal,female,en,literal,Mary Ainsworth
1,uri,http://www.wikidata.org/entity/Q275776,en,literal,female,en,literal,Wendy Palmer
2,uri,http://www.wikidata.org/entity/Q289337,en,literal,female,en,literal,Kathryn C. Thornton
3,uri,http://www.wikidata.org/entity/Q445740,en,literal,female,en,literal,Rita Dove
4,uri,http://www.wikidata.org/entity/Q452145,en,literal,female,en,literal,Ann Beattie
5,uri,http://www.wikidata.org/entity/Q464371,en,literal,female,en,literal,Maryse Condé
6,uri,http://www.wikidata.org/entity/Q467312,en,literal,female,en,literal,Cora Diamond
7,uri,http://www.wikidata.org/entity/Q528096,en,literal,female,en,literal,Deborah Eisenberg
8,uri,http://www.wikidata.org/entity/Q1711079,en,literal,female,en,literal,Judith Shatin
9,uri,http://www.wikidata.org/entity/Q1729266,en,literal,female,en,literal,Karen Parshall
10,uri,http://www.wikidata.org/entity/Q41767532,en,literal,female,en,literal,Rae Lesser Blumberg
11,uri,http://www.wikidata.org/entity/Q41796796,en,literal,female,en,literal,Karen Kafadar
12,uri,http://www.wikidata.org/entity/Q42082244,en,literal,female,en,literal,Slavica Jakelić
13,uri,http://www.wikidata.org/entity/Q42415937,en,literal,female,en,literal,Diane A. Dickie
14,uri,http://www.wikidata.org/entity/Q42639184,en,literal,female,en,literal,Sibylle Kranz
15,uri,http://www.wikidata.org/entity/Q42753888,en,literal,female,en,literal,Meera Murgai
16,uri,http://www.wikidata.org/entity/Q42766964,en,literal,female,en,literal,Stavroula Mili
17,uri,http://www.wikidata.org/entity/Q42855219,en,literal,female,en,literal,Adema Ribic
18,uri,http://www.wikidata.org/entity/Q42885945,en,literal,female,en,literal,Susan Saliba
19,uri,http://www.wikidata.org/entity/Q43105542,en,literal,female,en,literal,Ellen Bass
20,uri,http://www.wikidata.org/entity/Q43501499,en,literal,female,en,literal,Lucy Anne Parker
21,uri,http://www.wikidata.org/entity/Q46155812,en,literal,female,en,literal,Anna Maria Siega-Riz
22,uri,http://www.wikidata.org/entity/Q46176901,en,literal,female,en,literal,Linda Columbus
23,uri,http://www.wikidata.org/entity/Q47502290,en,literal,female,en,literal,Michelle L. Oyen
24,uri,http://www.wikidata.org/entity/Q47542043,en,literal,female,en,literal,Barbara MacCluer
25,uri,http://www.wikidata.org/entity/Q48238228,en,literal,female,en,literal,Alison K Criss
26,uri,http://www.wikidata.org/entity/Q49400356,en,literal,female,en,literal,Elizabeth A. Castner
27,uri,http://www.wikidata.org/entity/Q49635805,en,literal,female,en,literal,Sarah A Tersey
28,uri,http://www.wikidata.org/entity/Q49873362,en,literal,female,en,literal,Rebecca A. Dillingham
29,uri,http://www.wikidata.org/entity/Q49874289,en,literal,female,en,literal,Karen Ingersoll
30,uri,http://www.wikidata.org/entity/Q50419244,en,literal,female,en,literal,Rose E. Nevill
31,uri,http://www.wikidata.org/entity/Q50900763,en,literal,female,en,literal,Sophia Rosenfeld
32,uri,http://www.wikidata.org/entity/Q51903140,en,literal,female,en,literal,Sue Kim
33,uri,http://www.wikidata.org/entity/Q52274755,en,literal,female,en,literal,Micah Mazurek
34,uri,http://www.wikidata.org/entity/Q52315362,en,literal,female,en,literal,Catherine F. Moore
35,uri,http://www.wikidata.org/entity/Q52927763,en,literal,female,en,literal,Aidong Zhang
36,uri,http://www.wikidata.org/entity/Q54006632,en,literal,female,en,literal,Johanna T Cannon
37,uri,http://www.wikidata.org/entity/Q3146470,en,literal,female,en,literal,I. J. Parker
38,uri,http://www.wikidata.org/entity/Q3302959,en,literal,female,en,literal,Emma Vyssotsky
39,uri,http://www.wikidata.org/entity/Q3306602,en,literal,female,en,literal,Merrill Elam
40,uri,http://www.wikidata.org/entity/Q4727143,en,literal,female,en,literal,Alison Milbank
41,uri,http://www.wikidata.org/entity/Q4755147,en,literal,female,en,literal,Andrea L. Press
42,uri,http://www.wikidata.org/entity/Q4815991,en,literal,female,en,literal,Mary Lou Soffa
43,uri,http://www.wikidata.org/entity/Q4967003,en,literal,female,en,literal,Brie Gertler
44,uri,http://www.wikidata.org/entity/Q5126252,en,literal,female,en,literal,Clare Shore
45,uri,http://www.wikidata.org/entity/Q5248236,en,literal,female,en,literal,Deborah E. McDowell
46,uri,http://www.wikidata.org/entity/Q5364794,en,literal,female,en,literal,Ellen Contini-Morava
47,uri,http://www.wikidata.org/entity/Q5365006,en,literal,female,en,literal,Ellen Segal Huvelle
48,uri,http://www.wikidata.org/entity/Q5388993,en,literal,female,en,literal,Erika Meitner
49,uri,http://www.wikidata.org/entity/Q5436595,en,literal,female,en,literal,Farzaneh Milani
50,uri,http://www.wikidata.org/entity/Q6154557,en,literal,female,en,literal,Janine Jagger
51,uri,http://www.wikidata.org/entity/Q6216361,en,literal,female,en,literal,Johanna Drucker
52,uri,http://www.wikidata.org/entity/Q6304491,en,literal,female,en,literal,Judy Jordan
53,uri,http://www.wikidata.org/entity/Q6548081,en,literal,female,en,literal,Lillian BeVier
54,uri,http://www.wikidata.org/entity/Q6558381,en,literal,female,en,literal,Lisa Russ Spaar
55,uri,http://www.wikidata.org/entity/Q6757078,en,literal,female,en,literal,Marcia A. Invernizzi
56,uri,http://www.wikidata.org/entity/Q6780075,en,literal,female,en,literal,Mary Lee Settle
57,uri,http://www.wikidata.org/entity/Q6796702,en,literal,female,en,literal,Maya Jasanoff
58,uri,http://www.wikidata.org/entity/Q6818945,en,literal,female,en,literal,Meredith Jung-En Woo
59,uri,http://www.wikidata.org/entity/Q7426853,en,literal,female,en,literal,Satwant Pasricha
60,uri,http://www.wikidata.org/entity/Q7702090,en,literal,female,en,literal,Teresa A. Sullivan
61,uri,http://www.wikidata.org/entity/Q11310455,en,literal,female,en,literal,Julie Bargmann
62,uri,http://www.wikidata.org/entity/Q12611937,en,literal,female,en,literal,Seung-Heon Lee
63,uri,http://www.wikidata.org/entity/Q14946842,en,literal,female,en,literal,Rita Felski
64,uri,http://www.wikidata.org/entity/Q16728701,en,literal,female,en,literal,Nancy E. Dunlap
65,uri,http://www.wikidata.org/entity/Q16735248,en,literal,female,en,literal,Risa L. Goluboff
66,uri,http://www.wikidata.org/entity/Q16744952,en,literal,female,en,literal,Doris Kuhlmann-Wilsdorf
67,uri,http://www.wikidata.org/entity/Q16971556,en,literal,female,en,literal,Daphne Spain
68,uri,http://www.wikidata.org/entity/Q16982810,en,literal,female,en,literal,Elizabeth R. Varon
69,uri,http://www.wikidata.org/entity/Q16982959,en,literal,female,en,literal,Vivian Thomson
70,uri,http://www.wikidata.org/entity/Q18391484,en,literal,female,en,literal,Charlotte Patterson
71,uri,http://www.wikidata.org/entity/Q19564363,en,literal,female,en,literal,Irina Mitrea
72,uri,http://www.wikidata.org/entity/Q766750,en,literal,male,en,literal,Stéphane Audeguy
73,uri,http://www.wikidata.org/entity/Q845573,en,literal,male,en,literal,Jonathan Haidt
74,uri,http://www.wikidata.org/entity/Q945845,en,literal,male,en,literal,Ormond Stone
75,uri,http://www.wikidata.org/entity/Q973276,en,literal,male,en,literal,Dell Hymes
76,uri,http://www.wikidata.org/entity/Q973327,en,literal,male,en,literal,Fiske Kimball
77,uri,http://www.wikidata.org/entity/Q979076,en,literal,male,en,literal,Peter Matthew Hillsman Taylor
78,uri,http://www.wikidata.org/entity/Q1064064,en,literal,male,en,literal,Charles David Allis
79,uri,http://www.wikidata.org/entity/Q1065600,en,literal,male,en,literal,Charles N. Brower
80,uri,http://www.wikidata.org/entity/Q1116470,en,literal,male,en,literal,José María Valverde
81,uri,http://www.wikidata.org/entity/Q1173718,en,literal,male,en,literal,David Bentley Hart
82,uri,http://www.wikidata.org/entity/Q1173853,en,literal,male,en,literal,David Brydges
83,uri,http://www.wikidata.org/entity/Q1174571,en,literal,male,en,literal,David Gordon White
84,uri,http://www.wikidata.org/entity/Q1183434,en,literal,male,en,literal,Nicolás Cabrera
85,uri,http://www.wikidata.org/entity/Q1241017,en,literal,male,en,literal,Carlos Eire
86,uri,http://www.wikidata.org/entity/Q1288794,en,literal,male,en,literal,Alfred Burger
87,uri,http://www.wikidata.org/entity/Q1292667,en,literal,male,en,literal,Edward J. McShane
88,uri,http://www.wikidata.org/entity/Q1294503,en,literal,male,en,literal,Edwin E. Floyd
89,uri,http://www.wikidata.org/entity/Q1351528,en,literal,male,en,literal,Alexander Vyssotsky
90,uri,http://www.wikidata.org/entity/Q1352885,en,literal,male,en,literal,Harold Alden
91,uri,http://www.wikidata.org/entity/Q1362347,en,literal,male,en,literal,Randall Thompson
92,uri,http://www.wikidata.org/entity/Q1373155,en,literal,male,en,literal,Eugene Lane
93,uri,http://www.wikidata.org/entity/Q1392694,en,literal,male,en,literal,John Houbolt
94,uri,http://www.wikidata.org/entity/Q1393363,en,literal,male,en,literal,H. C. Erik Midelfort
95,uri,http://www.wikidata.org/entity/Q1422313,en,literal,male,en,literal,Ross Levine
96,uri,http://www.wikidata.org/entity/Q1432065,en,literal,male,en,literal,Solomon Morris Kupchan
97,uri,http://www.wikidata.org/entity/Q1480502,en,literal,male,en,literal,Scott Knowles DeVeaux
98,uri,http://www.wikidata.org/entity/Q1489004,en,literal,male,en,literal,Philip D. Zelikow
99,uri,http://www.wikidata.org/entity/Q1507776,en,literal,male,en,literal,George Long
100,uri,http://www.wikidata.org/entity/Q1508382,en,literal,male,en,literal,George Tucker
101,uri,http://www.wikidata.org/entity/Q1520800,en,literal,male,en,literal,John D'earth
102,uri,http://www.wikidata.org/entity/Q1538116,en,literal,male,en,literal,Gordon Thomas Whyburn
103,uri,http://www.wikidata.org/entity/Q1543895,en,literal,male,en,literal,Thomas E. Mann
104,uri,http://www.wikidata.org/entity/Q1553397,en,literal,male,en,literal,Peter M. Garber
105,uri,http://www.wikidata.org/entity/Q1555939,en,literal,male,en,literal,Gustav A. Hedlund
106,uri,http://www.wikidata.org/entity/Q1582765,en,literal,male,en,literal,Siva Vaidhyanathan
107,uri,http://www.wikidata.org/entity/Q1607275,en,literal,male,en,literal,"Henry St. George Tucker, Sr."
108,uri,http://www.wikidata.org/entity/Q1610293,en,literal,male,en,literal,Herman M. Schwartz
109,uri,http://www.wikidata.org/entity/Q1626035,en,literal,male,en,literal,Homer Smith
110,uri,http://www.wikidata.org/entity/Q1631482,en,literal,male,en,literal,Houston G. Wood III
111,uri,http://www.wikidata.org/entity/Q1655441,en,literal,male,en,literal,Ian Ayres
112,uri,http://www.wikidata.org/entity/Q1662745,en,literal,male,en,literal,William McDonough
113,uri,http://www.wikidata.org/entity/Q1663386,en,literal,male,en,literal,Janis Antonovics
114,uri,http://www.wikidata.org/entity/Q1676273,en,literal,male,en,literal,"Robert R. Merhige, Jr."
115,uri,http://www.wikidata.org/entity/Q1685513,en,literal,male,en,literal,Jean Fabre
116,uri,http://www.wikidata.org/entity/Q1686453,en,literal,male,en,literal,Jeffrey Hopkins
117,uri,http://www.wikidata.org/entity/Q1688195,en,literal,male,en,literal,Jesse Beams
118,uri,http://www.wikidata.org/entity/Q1691739,en,literal,male,en,literal,Joel Rubin
119,uri,http://www.wikidata.org/entity/Q1696311,en,literal,male,en,literal,Lennart Heimer
