,person.type,person.value,sexuality.xml:lang,sexuality.type,sexuality.value,personLabel.xml:lang,personLabel.type,personLabel.value
0,uri,http://www.wikidata.org/entity/Q7807415,en,literal,homosexuality,en,literal,Timothy Naftali
1,uri,http://www.wikidata.org/entity/Q85747,,,,en,literal,Gernot Zippe
2,uri,http://www.wikidata.org/entity/Q133222,,,,en,literal,Clinton Davisson
3,uri,http://www.wikidata.org/entity/Q164311,,,,en,literal,Kevin Granata
4,uri,http://www.wikidata.org/entity/Q167754,,,,en,literal,Hardy Cross Dillard
5,uri,http://www.wikidata.org/entity/Q171989,,,,en,literal,James R. Schlesinger
6,uri,http://www.wikidata.org/entity/Q188113,,,,en,literal,Ronald Coase
7,uri,http://www.wikidata.org/entity/Q202136,,,,en,literal,Barry Marshall
8,uri,http://www.wikidata.org/entity/Q205353,,,,en,literal,James M. Buchanan
9,uri,http://www.wikidata.org/entity/Q206017,,,,en,literal,Patrick Michaels
10,uri,http://www.wikidata.org/entity/Q216490,,,,en,literal,Hugo Iltis
11,uri,http://www.wikidata.org/entity/Q242625,,,,en,literal,Mary Ainsworth
12,uri,http://www.wikidata.org/entity/Q258523,,,,en,literal,Bennett McCallum
13,uri,http://www.wikidata.org/entity/Q265986,,,,en,literal,William F. Ruddiman
14,uri,http://www.wikidata.org/entity/Q275776,,,,en,literal,Wendy Palmer
15,uri,http://www.wikidata.org/entity/Q289337,,,,en,literal,Kathryn C. Thornton
16,uri,http://www.wikidata.org/entity/Q295999,,,,en,literal,Ferid Murad
17,uri,http://www.wikidata.org/entity/Q296423,,,,en,literal,Alfred G. Gilman
18,uri,http://www.wikidata.org/entity/Q305410,,,,en,literal,Shabtai Rosenne
19,uri,http://www.wikidata.org/entity/Q310781,,,,en,literal,James Joseph Sylvester
20,uri,http://www.wikidata.org/entity/Q312279,,,,en,literal,Tony Judt
21,uri,http://www.wikidata.org/entity/Q314292,,,,en,literal,Eben Moglen
22,uri,http://www.wikidata.org/entity/Q344157,,,,en,literal,Andrew Stevenson
23,uri,http://www.wikidata.org/entity/Q348235,,,,en,literal,Trinh Xuan Thuan
24,uri,http://www.wikidata.org/entity/Q348812,,,,en,literal,Vamik Volkan
25,uri,http://www.wikidata.org/entity/Q355793,,,,en,literal,James Alan McPherson
26,uri,http://www.wikidata.org/entity/Q366340,,,,en,literal,Fred Singer
27,uri,http://www.wikidata.org/entity/Q372743,,,,en,literal,Alexander Hugh Holmes Stuart
28,uri,http://www.wikidata.org/entity/Q430037,,,,en,literal,Peter van de Kamp
29,uri,http://www.wikidata.org/entity/Q437371,,,,en,literal,Gresham Sykes
30,uri,http://www.wikidata.org/entity/Q444433,,,,en,literal,Marek Jan Chodakiewicz
31,uri,http://www.wikidata.org/entity/Q445740,,,,en,literal,Rita Dove
32,uri,http://www.wikidata.org/entity/Q449689,,,,en,literal,John W. Snow
33,uri,http://www.wikidata.org/entity/Q452145,,,,en,literal,Ann Beattie
34,uri,http://www.wikidata.org/entity/Q464371,,,,en,literal,Maryse Condé
35,uri,http://www.wikidata.org/entity/Q467312,,,,en,literal,Cora Diamond
36,uri,http://www.wikidata.org/entity/Q524236,,,,en,literal,J. Lawrence Smith
37,uri,http://www.wikidata.org/entity/Q528096,,,,en,literal,Deborah Eisenberg
38,uri,http://www.wikidata.org/entity/Q537426,,,,en,literal,James Deetz
39,uri,http://www.wikidata.org/entity/Q558377,,,,en,literal,Wojciech Roszkowski
40,uri,http://www.wikidata.org/entity/Q565495,,,,en,literal,Joseph Wolpe
41,uri,http://www.wikidata.org/entity/Q633049,,,,en,literal,Archibald A. Hill
42,uri,http://www.wikidata.org/entity/Q633081,,,,en,literal,Michael E. Mann
43,uri,http://www.wikidata.org/entity/Q671393,,,,en,literal,David D. Newsom
44,uri,http://www.wikidata.org/entity/Q679164,,,,en,literal,Dumas Malone
45,uri,http://www.wikidata.org/entity/Q703878,,,,en,literal,Herbert Stein
46,uri,http://www.wikidata.org/entity/Q709351,,,,en,literal,Arthur Fickenscher
47,uri,http://www.wikidata.org/entity/Q731300,,,,en,literal,Ian Stevenson
48,uri,http://www.wikidata.org/entity/Q760328,,,,en,literal,Ian Roderick Macneil
49,uri,http://www.wikidata.org/entity/Q766750,,,,en,literal,Stéphane Audeguy
50,uri,http://www.wikidata.org/entity/Q845573,,,,en,literal,Jonathan Haidt
51,uri,http://www.wikidata.org/entity/Q945845,,,,en,literal,Ormond Stone
52,uri,http://www.wikidata.org/entity/Q973276,,,,en,literal,Dell Hymes
53,uri,http://www.wikidata.org/entity/Q973327,,,,en,literal,Fiske Kimball
54,uri,http://www.wikidata.org/entity/Q979076,,,,en,literal,Peter Matthew Hillsman Taylor
55,uri,http://www.wikidata.org/entity/Q1064064,,,,en,literal,Charles David Allis
56,uri,http://www.wikidata.org/entity/Q1065600,,,,en,literal,Charles N. Brower
57,uri,http://www.wikidata.org/entity/Q1116470,,,,en,literal,José María Valverde
58,uri,http://www.wikidata.org/entity/Q1173718,,,,en,literal,David Bentley Hart
59,uri,http://www.wikidata.org/entity/Q1173853,,,,en,literal,David Brydges
60,uri,http://www.wikidata.org/entity/Q1174571,,,,en,literal,David Gordon White
61,uri,http://www.wikidata.org/entity/Q1183434,,,,en,literal,Nicolás Cabrera
62,uri,http://www.wikidata.org/entity/Q1241017,,,,en,literal,Carlos Eire
63,uri,http://www.wikidata.org/entity/Q1288794,,,,en,literal,Alfred Burger
64,uri,http://www.wikidata.org/entity/Q1292667,,,,en,literal,Edward J. McShane
65,uri,http://www.wikidata.org/entity/Q1294503,,,,en,literal,Edwin E. Floyd
66,uri,http://www.wikidata.org/entity/Q1351528,,,,en,literal,Alexander Vyssotsky
67,uri,http://www.wikidata.org/entity/Q1352885,,,,en,literal,Harold Alden
68,uri,http://www.wikidata.org/entity/Q1362347,,,,en,literal,Randall Thompson
69,uri,http://www.wikidata.org/entity/Q1373155,,,,en,literal,Eugene Lane
70,uri,http://www.wikidata.org/entity/Q1392694,,,,en,literal,John Houbolt
71,uri,http://www.wikidata.org/entity/Q1393363,,,,en,literal,H. C. Erik Midelfort
72,uri,http://www.wikidata.org/entity/Q1422313,,,,en,literal,Ross Levine
73,uri,http://www.wikidata.org/entity/Q1432065,,,,en,literal,Solomon Morris Kupchan
74,uri,http://www.wikidata.org/entity/Q1480502,,,,en,literal,Scott Knowles DeVeaux
75,uri,http://www.wikidata.org/entity/Q1489004,,,,en,literal,Philip D. Zelikow
76,uri,http://www.wikidata.org/entity/Q1507776,,,,en,literal,George Long
77,uri,http://www.wikidata.org/entity/Q1508382,,,,en,literal,George Tucker
78,uri,http://www.wikidata.org/entity/Q1520800,,,,en,literal,John D'earth
79,uri,http://www.wikidata.org/entity/Q1538116,,,,en,literal,Gordon Thomas Whyburn
80,uri,http://www.wikidata.org/entity/Q1543895,,,,en,literal,Thomas E. Mann
81,uri,http://www.wikidata.org/entity/Q1553397,,,,en,literal,Peter M. Garber
82,uri,http://www.wikidata.org/entity/Q1555939,,,,en,literal,Gustav A. Hedlund
83,uri,http://www.wikidata.org/entity/Q1582765,,,,en,literal,Siva Vaidhyanathan
84,uri,http://www.wikidata.org/entity/Q1607275,,,,en,literal,"Henry St. George Tucker, Sr."
85,uri,http://www.wikidata.org/entity/Q1610293,,,,en,literal,Herman M. Schwartz
86,uri,http://www.wikidata.org/entity/Q1626035,,,,en,literal,Homer Smith
87,uri,http://www.wikidata.org/entity/Q1631482,,,,en,literal,Houston G. Wood III
88,uri,http://www.wikidata.org/entity/Q1655441,,,,en,literal,Ian Ayres
89,uri,http://www.wikidata.org/entity/Q1662745,,,,en,literal,William McDonough
90,uri,http://www.wikidata.org/entity/Q1663386,,,,en,literal,Janis Antonovics
91,uri,http://www.wikidata.org/entity/Q1676273,,,,en,literal,"Robert R. Merhige, Jr."
92,uri,http://www.wikidata.org/entity/Q1685513,,,,en,literal,Jean Fabre
93,uri,http://www.wikidata.org/entity/Q1686453,,,,en,literal,Jeffrey Hopkins
94,uri,http://www.wikidata.org/entity/Q1688195,,,,en,literal,Jesse Beams
95,uri,http://www.wikidata.org/entity/Q1691739,,,,en,literal,Joel Rubin
96,uri,http://www.wikidata.org/entity/Q1696311,,,,en,literal,Lennart Heimer
97,uri,http://www.wikidata.org/entity/Q1701091,,,,en,literal,John Francis Marchment Middleton
98,uri,http://www.wikidata.org/entity/Q1710863,,,,en,literal,Judah Moshe Eisenberg
99,uri,http://www.wikidata.org/entity/Q1711079,,,,en,literal,Judith Shatin
100,uri,http://www.wikidata.org/entity/Q1729266,,,,en,literal,Karen Parshall
101,uri,http://www.wikidata.org/entity/Q1738659,,,,en,literal,Ken Ono
102,uri,http://www.wikidata.org/entity/Q1740168,,,,en,literal,Kevin Hart
103,uri,http://www.wikidata.org/entity/Q1819016,,,,en,literal,Leonard Mirman
104,uri,http://www.wikidata.org/entity/Q1873929,,,,en,literal,Ludlow Griscom
105,uri,http://www.wikidata.org/entity/Q2044760,,,,en,literal,David G. Bromley
106,uri,http://www.wikidata.org/entity/Q2076568,,,,en,literal,Peter Landweber
107,uri,http://www.wikidata.org/entity/Q2093316,,,,en,literal,Pierre Conner
108,uri,http://www.wikidata.org/entity/Q2158898,,,,en,literal,Robert Evert Stong
109,uri,http://www.wikidata.org/entity/Q2161569,,,,en,literal,Roger A. Pielke
110,uri,http://www.wikidata.org/entity/Q2161885,,,,en,literal,Roger Shattuck
111,uri,http://www.wikidata.org/entity/Q2341286,,,,en,literal,William Barton Rogers
112,uri,http://www.wikidata.org/entity/Q2559671,,,,en,literal,Samuel Alfred Mitchell
113,uri,http://www.wikidata.org/entity/Q2642732,,,,en,literal,Alexander Newton Winchell
114,uri,http://www.wikidata.org/entity/Q2692082,,,,en,literal,Nicolas Tournadre
115,uri,http://www.wikidata.org/entity/Q2901043,,,,en,literal,Robert Cooter
116,uri,http://www.wikidata.org/entity/Q2960465,,,,en,literal,Charles Wright
117,uri,http://www.wikidata.org/entity/Q3014805,,,,en,literal,Daniel Wegner
118,uri,http://www.wikidata.org/entity/Q3140859,,,,en,literal,"Horton Holcombe Hobbs, Jr."
119,uri,http://www.wikidata.org/entity/Q3146470,,,,en,literal,I. J. Parker
120,uri,http://www.wikidata.org/entity/Q3161705,,,,en,literal,Jan L. Perkowski
121,uri,http://www.wikidata.org/entity/Q3182089,,,,en,literal,John Milbank
122,uri,http://www.wikidata.org/entity/Q3185398,,,,en,literal,Joseph Médard Carrière
123,uri,http://www.wikidata.org/entity/Q3244789,,,,en,literal,Jim B. Tucker
124,uri,http://www.wikidata.org/entity/Q3246321,,,,en,literal,Bruce Greyson
125,uri,http://www.wikidata.org/entity/Q3262682,,,,en,literal,Louis Menand
126,uri,http://www.wikidata.org/entity/Q3302959,,,,en,literal,Emma Vyssotsky
127,uri,http://www.wikidata.org/entity/Q3306602,,,,en,literal,Merrill Elam
128,uri,http://www.wikidata.org/entity/Q3436307,,,,en,literal,Robert Homer Simpson
129,uri,http://www.wikidata.org/entity/Q3896092,,,,en,literal,Park Dietz
130,uri,http://www.wikidata.org/entity/Q4027139,,,,en,literal,Robert B. Radnitz
131,uri,http://www.wikidata.org/entity/Q4133014,,,,en,literal,E. D. Hirsch
132,uri,http://www.wikidata.org/entity/Q4347110,,,,en,literal,Robert M. Patterson
133,uri,http://www.wikidata.org/entity/Q4349539,,,,en,literal,Quincy Wright
134,uri,http://www.wikidata.org/entity/Q4356592,,,,en,literal,Trenton Merricks
135,uri,http://www.wikidata.org/entity/Q4502742,,,,en,literal,Jeffrey K. Hadden
136,uri,http://www.wikidata.org/entity/Q4521730,,,,en,literal,Graham Schweig
137,uri,http://www.wikidata.org/entity/Q4531178,,,,en,literal,Kenneth G. Elzinga
138,uri,http://www.wikidata.org/entity/Q4647627,,,,en,literal,A. C. Spearing
139,uri,http://www.wikidata.org/entity/Q4665815,,,,en,literal,Abdulaziz Sachedina
140,uri,http://www.wikidata.org/entity/Q4679954,,,,en,literal,Adam Watson
141,uri,http://www.wikidata.org/entity/Q4706366,,,,en,literal,Alan Cheuse
142,uri,http://www.wikidata.org/entity/Q4711313,,,,en,literal,Albert Taylor Bledsoe
143,uri,http://www.wikidata.org/entity/Q4719325,,,,en,literal,Alexander Klibanov
144,uri,http://www.wikidata.org/entity/Q4727143,,,,en,literal,Alison Milbank
145,uri,http://www.wikidata.org/entity/Q4755147,,,,en,literal,Andrea L. Press
146,uri,http://www.wikidata.org/entity/Q4799180,,,,en,literal,Arthur J. Bachrach
147,uri,http://www.wikidata.org/entity/Q4808349,,,,en,literal,Assaf Shelleg
148,uri,http://www.wikidata.org/entity/Q4815991,,,,en,literal,Mary Lou Soffa
149,uri,http://www.wikidata.org/entity/Q4856431,,,,en,literal,Bankole Johnson
150,uri,http://www.wikidata.org/entity/Q4858257,,,,en,literal,Ed Diener
151,uri,http://www.wikidata.org/entity/Q4865662,,,,en,literal,Barton Myers
152,uri,http://www.wikidata.org/entity/Q4866340,,,,en,literal,Bascom S. Deaver
153,uri,http://www.wikidata.org/entity/Q4893422,,,,en,literal,Bernard Mayes
154,uri,http://www.wikidata.org/entity/Q4957692,,,,en,literal,Brantly Womack
155,uri,http://www.wikidata.org/entity/Q4967003,,,,en,literal,Brie Gertler
156,uri,http://www.wikidata.org/entity/Q4975042,,,,en,literal,Brooks Pate
157,uri,http://www.wikidata.org/entity/Q4977040,,,,en,literal,Bruce A. Williams
158,uri,http://www.wikidata.org/entity/Q5006273,,,,en,literal,C. Alphonso Smith
159,uri,http://www.wikidata.org/entity/Q5053606,,,,en,literal,Cato T. Laurencin
160,uri,http://www.wikidata.org/entity/Q5074847,,,,en,literal,Charles A. Holt
161,uri,http://www.wikidata.org/entity/Q5078460,,,,en,literal,Charles Grisham
162,uri,http://www.wikidata.org/entity/Q5081332,,,,en,literal,Charles O. Jones
163,uri,http://www.wikidata.org/entity/Q5081704,,,,en,literal,Charles Pollard Olivier
164,uri,http://www.wikidata.org/entity/Q5082301,,,,en,literal,Charles S. Venable
165,uri,http://www.wikidata.org/entity/Q5083498,,,,en,literal,Charles Whitebread
166,uri,http://www.wikidata.org/entity/Q5113331,,,,en,literal,Christopher Tilghman
167,uri,http://www.wikidata.org/entity/Q5125004,,,,en,literal,Claes G. Ryn
168,uri,http://www.wikidata.org/entity/Q5126252,,,,en,literal,Clare Shore
169,uri,http://www.wikidata.org/entity/Q5218889,,,,en,literal,Daniel T. Willingham
170,uri,http://www.wikidata.org/entity/Q5231395,,,,en,literal,David Bevington
171,uri,http://www.wikidata.org/entity/Q5234583,,,,en,literal,David Haberly
172,uri,http://www.wikidata.org/entity/Q5237037,,,,en,literal,David Magleby
173,uri,http://www.wikidata.org/entity/Q5240176,,,,en,literal,David Summers
174,uri,http://www.wikidata.org/entity/Q5248236,,,,en,literal,Deborah E. McDowell
175,uri,http://www.wikidata.org/entity/Q5280865,,,,en,literal,Dirk Reuyl
176,uri,http://www.wikidata.org/entity/Q5292556,,,,en,literal,Don E. Detmer
177,uri,http://www.wikidata.org/entity/Q5294040,,,,en,literal,Donald Black
178,uri,http://www.wikidata.org/entity/Q5294330,,,,en,literal,Donald F. Hunt
179,uri,http://www.wikidata.org/entity/Q5294615,,,,en,literal,Donald Justice
180,uri,http://www.wikidata.org/entity/Q5294619,,,,en,literal,Donald K. Fry
181,uri,http://www.wikidata.org/entity/Q5295138,,,,en,literal,Donald Shaw
182,uri,http://www.wikidata.org/entity/Q5322126,,,,en,literal,E. Roger Boyle
183,uri,http://www.wikidata.org/entity/Q5337232,,,,en,literal,"Edgar F. Shannon, Jr."
184,uri,http://www.wikidata.org/entity/Q5342503,,,,en,literal,Edward D. Miller
185,uri,http://www.wikidata.org/entity/Q5343039,,,,en,literal,Edward G. Lengel
186,uri,http://www.wikidata.org/entity/Q5344058,,,,en,literal,Edward Larrabee Barnes
187,uri,http://www.wikidata.org/entity/Q5345345,,,,en,literal,Edward Slaughter
188,uri,http://www.wikidata.org/entity/Q5364794,,,,en,literal,Ellen Contini-Morava
189,uri,http://www.wikidata.org/entity/Q5365006,,,,en,literal,Ellen Segal Huvelle
190,uri,http://www.wikidata.org/entity/Q5386990,,,,en,literal,Eric Lott
191,uri,http://www.wikidata.org/entity/Q5388993,,,,en,literal,Erika Meitner
192,uri,http://www.wikidata.org/entity/Q5393105,,,,en,literal,Ernest Gellhorn
193,uri,http://www.wikidata.org/entity/Q5393551,,,,en,literal,Ernest Mead
194,uri,http://www.wikidata.org/entity/Q5436595,,,,en,literal,Farzaneh Milani
195,uri,http://www.wikidata.org/entity/Q5481045,,,,en,literal,Francis Gavin
196,uri,http://www.wikidata.org/entity/Q5487223,,,,en,literal,Frank Hereford
197,uri,http://www.wikidata.org/entity/Q5497974,,,,en,literal,Frederick Hartt
198,uri,http://www.wikidata.org/entity/Q5498476,,,,en,literal,Frederick Nolting
199,uri,http://www.wikidata.org/entity/Q5499578,,,,en,literal,Fredson Bowers
200,uri,http://www.wikidata.org/entity/Q5522901,,,,en,literal,Gareth B. Matthews
201,uri,http://www.wikidata.org/entity/Q5525525,,,,en,literal,Gary Marks
202,uri,http://www.wikidata.org/entity/Q5531151,,,,en,literal,Gene D. Block
203,uri,http://www.wikidata.org/entity/Q5539466,,,,en,literal,George Frederick Holmes
204,uri,http://www.wikidata.org/entity/Q5539634,,,,en,literal,George Garrett
